rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,MIM-USDC|Mim,Beefy,Arbitrum,$1.2m,1200000,16.09,12.55,,,,,,12.55,,,,,
2,AUSD-USDC-USDT0,Curve DEX,Monad,$2.96m,2960000,15.96,0,15.96,6.2,,15.96,,6.2,,,,,
3,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$2.61m,2610000,15.91,7.51,8.4,23,,8.4,,23,,,,,
4,SUPERUSDC|SuperVault,Superform,Base,$2.27m,2270000,15.35,4.18,11.17,11.09,,11.17,,11.09,,,,,
5,MSUSD-FRXUSD,Aerodrome V1,Base,$1.17m,1170000,14.89,14.89,16.46,,,14.89,,16.46,,,,,
6,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,"$976,660",976660,14.88,13.8,1.08,15.32,10.95,15.32,,10.95,,,,,
7,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$929,300",929300,14.63,14.63,13.81,,,14.63,,13.81,,,,,
8,USDC-USDM,Mento V3,Monad,"$559,499",559499,14.23,0.67,13.56,14.98,,13.56,,14.98,,,,,
9,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.56m,3560000,13.74,13.74,14.24,,,13.74,,14.24,,,,,
10,USDC-MUSD|CL10 - 0.05%,Aerodrome Slipstream,Base,"$632,226",632226,13.26,13.26,13.6,,,13.26,,13.6,,,,,
11,USDC|yoUSD,YO Protocol,Base,$17.91m,17910000,11.46,3.66,7.8,14.32,,7.8,,14.32,,,,,
12,USDC|yoUSD,YO Protocol,Arbitrum,"$591,645",591645,11.46,3.66,7.8,14.31,,7.8,,14.31,,,,,
13,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.35,,,,,,11.35,,,,,
14,MIM-USDT0|Mim,Beefy,Arbitrum,$1.09m,1090000,11.16,10.54,,,,,,10.54,,,,,
15,ALUSD-USDC|Curve,Stake DAO,Arbitrum,"$658,573",658573,11,0.07,10.93,9.54,,10.93,,9.54,,,,,
16,ALUSD-USDC,Curve DEX,Arbitrum,"$697,866",697866,10.75,0.05,10.7,9.48,,10.7,,9.48,,,,,
17,SUSDU,Unitas,Solana,$43.78m,43780000,9.95,9.95,10.77,,,9.95,,10.77,,,,,
18,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$3.03m,3030000,9.83,13.76,,,,,,13.76,,,,,
19,AUSD,Neverland,Monad,$7.04m,7040000,9.72,4.45,5.26,9.64,,5.26,,9.64,,,,,
20,AUGUSTUSDC,Morpho Blue,Monad,$2.83m,2830000,9.53,6.17,3.36,8.53,,3.36,,8.53,2830311.09231684,,161633918.66,1.72,"{""syzUSD"":27.31,""earnAUSD"":72.69}"
