rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDC,Yearn Finance,Base,"$774,989",774989,155,155,33.19,,,155,,33.19,,,,,
2,RE7USDC,Morpho Blue,Base,"$797,253",797253,116,116,23.49,,,116,,23.49,797527.0449593965,,24661003.65,0.08,"{""AERO"":8.21,""USR"":55.45,""cbBTC"":33.79,""mBASIS"":1.74,""wbCOIN"":0.81}"
3,MIM-USDC|Mim,Beefy,Arbitrum,$1.19m,1190000,20.33,10.48,,,,,,10.48,,,,,
4,AUGUSTUSDC,Morpho Blue,Monad,$5.73m,5730000,18.57,15.84,2.73,8.2,,2.73,,8.2,5734736.950458312,,158732006.66,3.49,"{""syzUSD"":46.67,""earnAUSD"":53.33}"
5,MSUSD-FRXUSD,Aerodrome V1,Base,$1.01m,1010000,18.14,18.14,16.51,,,18.14,,16.51,,,,,
6,AUSD-USDC-USDT0,Curve DEX,Monad,$2.97m,2970000,15.93,0,15.93,3.8,,15.93,,3.8,,,,,
7,USDC|yoUSD,YO Protocol,Base,$18.48m,18480000,15.82,3.82,12,13.71,,12,,13.71,,,,,
8,USDC|yoUSD,YO Protocol,Arbitrum,"$567,269",567269,15.82,3.82,12,13.71,,12,,13.71,,,,,
9,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.33m,3330000,14.64,14.64,14.25,,,14.64,,14.25,,,,,
10,USDC-USDM,Mento V3,Monad,"$525,201",525201,14.62,0.17,14.44,15.37,,14.44,,15.37,,,,,
11,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$2.94m,2940000,14.48,14.23,,,,,,14.23,,,,,
12,SUPERUSDC|SuperVault,Superform,Base,$1.58m,1580000,14.43,4.72,9.72,9.02,,9.72,,9.02,,,,,
13,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,$1.09m,1090000,12.76,12.76,13.69,,,12.76,,13.69,,,,,
14,USDC|Compound,Beefy,Base,$1.23m,1230000,12.49,3.3,,,,,,3.3,,,,,
15,USDC|arbUSD,AUTOfinance,Arbitrum,$3.68m,3680000,12.1,10.91,1.18,10.84,,1.18,,10.84,,,,,
16,AUGUSTUSDCV2,Morpho Blue,Monad,$5.73m,5730000,11.55,8.65,2.9,7.94,,2.9,,7.94,,,,,
17,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.21,,,,,,11.21,,,,,
18,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3,,5,,11.3,,,,,
19,MIM-USDT0|Mim,Beefy,Arbitrum,$1.09m,1090000,11.22,10.4,,,,,,10.4,,,,,
20,ZVUSDC,Zircuit Finance,Base,$1.49m,1490000,10.85,10.85,8.62,,,10.85,,8.62,,,,,
21,ALUSD-USDC|Curve,Stake DAO,Arbitrum,"$690,335",690335,10.17,0.03,10.14,9.63,,10.14,,9.63,,,,,
22,SUSDU,Unitas,Solana,$45.27m,45270000,10.13,10.13,11.34,,,10.13,,11.34,,,,,
23,AUSD|earnAUSD/AUSD,Curvance,Monad,$1.25m,1250000,9.82,7.32,2.5,7.53,,2.5,,7.53,,,,,
24,AUSD,Neverland,Monad,$6.86m,6860000,9.36,4.47,4.89,9.74,,4.89,,9.74,,,,,
25,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.15m,1150000,9.33,9.33,11.57,,,9.33,,11.57,,,,,
26,SUSDAI|For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$12.13m,12130000,9.17,9.17,8.24,,,9.17,,8.24,,,,,
27,USDC|baseUSD,AUTOfinance,Base,$5.66m,5660000,9.09,5.22,3.87,7.8,,3.87,,7.8,,,,,
28,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,9,,2,,9,,,,,
29,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,750",783750,9,7,2,9,,2,,9,,,,,
30,EDGEUSDC,Morpho Blue,Base,"$848,643",848643,8.96,6.54,2.42,5.79,,2.42,,5.79,101703.64720176144,,29893794.52,0.34,"{""wstETH"":1.37,""sUSDS"":98.63}"
31,AUSD,Yearn Finance,Katana,$1.61m,1610000,8.95,8.95,4.75,,,8.95,,4.75,,,,,
32,MSUSD-USDC,Aerodrome V1,Base,$7.66m,7660000,8.95,8.95,11.02,,,8.95,,11.02,,,,,
33,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.65m,6650000,8.93,8.93,7.88,,,8.93,,7.88,,,,,
34,USDC,YieldSeeker,Base,$1.25m,1250000,8.84,8.84,9.81,,,8.84,,9.81,,,,,
35,USDC|vault,Avantis,Base,$48.94m,48940000,8.81,8.81,9.99,,,8.81,,9.99,,,,,
36,APXUSD|For LP | Maturity 18JUN2026,Pendle,Base,$3.33m,3330000,8.64,7.25,1.39,8.8,,1.39,,8.8,,,,,
37,HYPERVBUSDCA,Morpho Blue,Katana,$1.53m,1530000,8.63,8.17,0.46,4.94,,0.46,,4.94,,,,,
38,MSUSD-USDC|Aerodrome,Beefy,Base,"$683,660",683660,8.42,10.55,,,,,,10.55,,,,,
39,USDAI|For buying PT-USDai-15OCT2026,Pendle,Arbitrum,"$895,106",895106,8.19,8.19,6.71,,,8.19,,6.71,,,,,
40,USDC,Loopscale,Solana,$2.22m,2220000,8.05,7.02,1.03,8.56,,1.03,,8.56,,,,,
41,USDC,Neverland,Monad,$15.83m,15830000,7.95,3.67,4.28,8.17,,4.28,,8.17,,,,,
42,USDT0,Neverland,Monad,$4.91m,4910000,7.93,3.4,4.53,9.29,,4.53,,9.29,,,,,
43,SUSDAI|For LP | Maturity 18JUN2026,Pendle,Arbitrum,$6.65m,6650000,7.92,7.13,0.79,7.26,,0.79,,7.26,,,,,
44,EARNAUSD,Upshift,Monad,$34.8m,34800000,7.89,5.79,2.1,8.28,,2.1,,8.28,,,,,
45,AAVEGHO-USDT-USDC,Aura,Arbitrum,$4.14m,4139999.9999999995,7.83,7.5,0.34,8.72,,0.34,,8.72,,,,,
46,AUSD|vUSD/AUSD,Curvance,Monad,"$968,200",968200,7.75,4.75,3,5.93,,3,,5.93,,,,,
47,SUSDAI|For LP | Maturity 15OCT2026,Pendle,Arbitrum,$12.13m,12130000,7.74,7.21,0.53,7.48,,0.53,,7.48,,,,,
48,WAARBUSDCN-WAARBUSDT-WAARBGHO|Aura,Beefy,Arbitrum,$1.7m,1700000,7.74,6.86,,,,,,6.86,,,,,
49,SYZUSD,Yuzu Money,Monad,$13.04m,13040000,7.69,7.69,7.51,,,7.69,,7.51,,,,,
50,BBQUSDT0,Morpho Blue,Monad,$5.85m,5850000,7.64,4.24,3.39,6.87,,3.39,,6.87,70766.09156686933,,659515272.76,0,"{""sUSDe"":0.04,""weETH"":3.63,""siUSD"":0.13,""XAUt0"":0.24,""bbqUSDC"":0,""WBTC"":0.42,""wsrUSD"":4.02,""wstETH"":89.76,""WETH"":1.75}"
51,SUSDAI|30d unlock,USD AI,Arbitrum,$266.69m,266690000,7.27,7.27,6.75,,,7.27,,6.75,,,,,
52,HYPERUSDCA,Morpho Blue,Monad,$16.22m,16219999.999999998,7.18,4.47,2.71,7.06,,2.71,,7.06,817285.1708777222,,199152710.57,0,"{""PT-thBILL-18JUN2026"":10.67,""PT-USDai-18JUN2026"":24.96,""PT-sUSDai-18JUN2026"":13.38,""thBILL"":10.24,""WBTC"":19.82,""WETH"":1.29,""PT-sUSDai-19FEB2026"":0,""sUSDai"":3.58,""sUSDS"":1.02,""weETH"":15.05}"
53,HYPERUSDCA,Morpho Blue,Arbitrum,"$817,262",817262,7,7,4.39,,,7,,4.39,817285.1708777222,,199152710.57,0,"{""PT-thBILL-18JUN2026"":10.67,""PT-USDai-18JUN2026"":24.96,""PT-sUSDai-18JUN2026"":13.38,""thBILL"":10.24,""WBTC"":19.82,""WETH"":1.29,""PT-sUSDai-19FEB2026"":0,""sUSDai"":3.58,""sUSDS"":1.02,""weETH"":15.05}"
54,FEUSDE,Morpho Blue,Hyperliquid L1,"$802,010",802010,6.9,6.9,9.99,,,6.9,,9.99,801180.9346367497,,16182312.88,4.72,"{""UBTC"":40.97,""WHYPE"":59.03}"
55,FEUSDT0,Morpho Blue,Hyperliquid L1,$11.2m,11200000,6.88,6.88,7.21,,,6.88,,7.21,11366740.01569783,,95886203.52,10.6,"{""PT-kHYPE-19MAR2026"":5.94,""beHYPE"":0.45,""UBTC"":7.13,""WHYPE"":33.51,""kHYPE"":52.41,""wstHYPE"":0.56}"
56,USDC,DeltaPrime,Arbitrum,"$693,298",693298,6.86,6.86,6.37,,,6.86,,6.37,,,,,
57,USDC,MortgageFi,Base,"$738,987",738987,6.75,9.38,,,,,,9.38,,,,,
58,DTUSDC,Lagoon,Base,"$684,225",684225,6.63,6.63,5.73,,,6.63,,5.73,,,,,
59,BBQUSD1,Morpho Blue,Monad,$1.35m,1350000,6.61,2.57,4.04,120,,4.04,,120,1353486.302169161,,48637270.45,0,"{""wsrUSD"":100}"
60,USDC-MUSD|CL10 - 0.05%,Aerodrome Slipstream,Base,$1.12m,1120000,6.54,6.54,16.82,,,6.54,,16.82,,,,,
