rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,SUSDU,Unitas,Solana,$9.28m,9280000,32.19,32.19,,,,12.79,,,,,,,
2,LIMUSD|For LP | Maturity 26NOV2026,Pendle,Hyperliquid L1,"$810,400",810400,20.96,15.73,5.23,,,18.79,,,,,,,
3,GTUSDT,Morpho Blue,Katana,$3.23m,3230000,18.77,5.74,13.03,,,3.49,,,9.989758696762151e-7,,39959.03,0,"{""WHYPE"":100}"
4,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,13.18,,,,,,,
5,USDC,Metrom,Base,$1.25m,1250000,16.49,16.49,,,,16.77,,,,,,,
6,AUSD-USDC-USDT0,Curve DEX,Monad,$2.88m,2880000,16.1,0,16.1,,,14.22,,,,,,,
7,USDC-USDM,Mento V3,Monad,"$570,063",570063,13.54,0.23,13.3,,,14.58,,,,,,,
8,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$4.26m,4260000,12.81,12.81,,,,13.27,,,,,,,
9,USDC|yoUSD,YO Protocol,Base,$15.98m,15980000,12.31,4.51,7.8,,,13.39,,,,,,,
10,USDC|yoUSD,YO Protocol,Arbitrum,"$548,625",548625,12.31,4.51,7.8,,,13.4,,,,,,,
11,USDC|40 Acres,Harvest Finance,Base,$1.97m,1970000,12.25,12.25,,,,8.75,,,,,,,
12,USDC,Metrom,Katana,$15.9m,15900000,12.03,2.77,9.26,,,12.28,,,,,,,
13,USDC|vault,Avantis,Base,$45.28m,45280000,11.97,11.97,,,,10.1,,,,,,,
14,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$857,407",857407,11.95,11.95,11.95,,,14.39,,,,,,,
15,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.78m,3780000,11.64,11.64,,,,14.76,,,,,,,
16,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.18m,1180000,11.58,9.62,1.95,10.51,,14.51,,,,,,,
17,MIM-USDC|Mim,Beefy,Arbitrum,$1.24m,1240000,11.39,11.39,,,,16.18,,,,,,,
18,MSUSD-FRXUSD,Aerodrome V1,Base,"$788,918",788918,11.33,11.33,11.33,,,15.49,,,,,,,
19,AUSD|EVK Vault eAUSD-16,Euler V2,Monad,"$867,924",867924,11.26,7.93,3.33,,,9.14,,,9470000,8600000,867925,,
20,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$4.05m,4050000,10.61,8.11,2.5,,,17.71,,,,,,,
21,MIM-USDT0|Mim,Beefy,Arbitrum,$1.12m,1120000,10.41,10.41,,,,11.13,,,,,,,
22,USDC,Harmonix Finance,Hyperliquid L1,$10.74m,10740000,10.12,10.12,,,,10.51,,,,,,,
23,USDT,Metrom,Katana,$4.14m,4139999.9999999995,9.99,2.73,7.26,,,10.18,,,,,,,
24,ALUSD-USDC|Curve,Stake DAO,Arbitrum,"$751,204",751204,9.81,0.06,9.75,,,9.93,,,,,,,
25,ALUSD-USDC,Curve DEX,Arbitrum,"$756,606",756606,9.81,0.11,9.7,,,10.02,,,,,,,
26,SUSDAI|For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$13.15m,13150000,9.69,9.69,,,,9.22,,,,,,,
27,SUPERUSDC|SuperVault,Superform,Base,$3.82m,3820000,9.58,4.26,5.32,,,12.54,,,,,,,
28,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$9.74m,9740000,9.46,9.46,,,,9.17,,,,,,,
29,ZVUSDC,Zircuit Finance,Base,$1.5m,1500000,9.44,9.44,,,,8.56,,,,,,,
30,FEUSDC2,Morpho Blue,Hyperliquid L1,$27.09m,27090000,9.29,9.29,,,,7.45,,,27302049.44064942,,32684182.15,45.51,"{""kHYPE"":9.85,""WHYPE"":89.28,""wstHYPE"":0.86}"
31,USDC,YieldSeeker,Base,$1.26m,1260000,9.12,9.12,,,,9.04,,,,,,,
32,FEUSD|WHYPE Stability Pool,Felix CDP,Hyperliquid L1,$8.33m,8330000,9.05,9.05,,,,9.26,,,,,,,
33,USDT,ZEROBASE CeDeFi,Arbitrum,$7.92m,7920000,9,7,2,,,9,,,,,,,
34,USDC,ZEROBASE CeDeFi,Arbitrum,"$782,992",782992,9,7,2,,,9,,,,,,,
35,USDC,Neverland,Monad,$13.36m,13360000,8.66,3.93,4.73,,,8.48,,,59440000,46080000,13360000,,
36,CSUSDC,Morpho Blue,Base,$2.92m,2920000,8.64,8.64,,,,5.11,,,1.0059011194095477,,75982559.01,0,"{""wstETH"":64.88,""weETH"":35.12}"
37,AUSD,Neverland,Monad,$10.34m,10340000,8.58,3.89,4.68,,,9.18,,,45020000,34680000,10340000,,
38,USDAI|For buying PT-USDai-15OCT2026,Pendle,Arbitrum,"$781,458",781458,8.41,8.41,,,,7.22,,,,,,,
