rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,RE7USDC,Morpho Blue,Base,"$790,863",790863,52.12,52.12,11.54,,,52.12,,11.54,790948.7383486991,,24659894.53,0.08,"{""AERO"":8.28,""USR"":55.02,""cbBTC"":34.16,""mBASIS"":1.75,""wbCOIN"":0.78}"
2,USDC,Purrlend,Hyperliquid L1,$4.85m,4850000,29.05,29.05,13.3,,,29.05,,13.3,6690000,1840000,4850000,,
3,MIM-USDC / Mim,Beefy,Arbitrum,$1.17m,1170000,20.78,8.29,,,,,,8.29,,,,,
4,MSUSD-FRXUSD,Aerodrome V1,Base,"$851,054",851054,18.49,18.49,16.21,,,18.49,,16.21,,,,,
5,AAVEGHO-USDT-USDC,Aura,Arbitrum,$3.7m,3700000,16.75,6.76,9.99,8.34,,9.99,,8.34,,,,,
6,USDC / yoUSD,YO Protocol,Base,$19.6m,19600000,16.08,4.08,12,13.9,,12,,13.9,,,,,
7,USDC / yoUSD,YO Protocol,Arbitrum,"$568,336",568336,16.08,4.08,12,13.92,,12,,13.92,,,,,
8,AUSD-USDC-USDT0,Curve DEX,Monad,$3.04m,3040000,15.91,0,15.91,1.39,,15.91,,1.39,,,,,
9,USDC-USDM,Mento V3,Monad,"$520,926",520926,15.48,0.93,14.56,15.86,,14.56,,15.86,,,,,
10,FEUSDE,Morpho Blue,Hyperliquid L1,$1.15m,1150000,15.35,15.35,10.9,,,15.35,,10.9,1170574.8401632467,,15819328.31,6.89,"{""WHYPE"":60.56,""UBTC"":39.44}"
11,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.08m,1080000,15.23,15.23,14.05,,,15.23,,14.05,,,,,
12,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.28m,3280000,14.29,14.29,14.18,,,14.29,,14.18,,,,,
13,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$2.95m,2950000,12.87,14.19,,,,,,14.19,,,,,
14,SUPERUSDC / SuperVault,Superform,Base,$1.29m,1290000,12.74,6.08,6.66,7.53,,6.66,,7.53,,,,,
15,USDC / Compound,Beefy,Base,$1.23m,1230000,12.49,3.25,,,,,,3.25,,,,,
16,USDC / arbUSD,AUTOfinance,Arbitrum,$2.87m,2870000,12.44,10.55,1.89,9.73,,1.89,,9.73,,,,,
17,USDC,Accountable,Monad,$1.34m,1340000,11.57,6.3,5.26,9.59,,5.26,,9.59,,,,,
18,USDC,Sprinter,Base,$2.96m,2960000,11.35,10.76,,,,,,10.76,,,,,
19,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3,,5,,11.3,,,,,
20,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.1m,1100000,10.74,10.26,,,,,,10.26,,,,,
21,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$689,354",689354,10.44,0.15,10.29,9.65,,10.29,,9.65,,,,,
22,SUSDU,Unitas,Solana,$46.02m,46020000,10.26,10.26,11.55,,,10.26,,11.55,,,,,
23,USDC,YieldSeeker,Base,$1.28m,1280000,10.08,10.08,9.62,,,10.08,,9.62,,,,,
24,ALUSD-USDC,Curve DEX,Arbitrum,"$725,479",725479,10.05,0,10.05,9.6,,10.05,,9.6,,,,,
25,USDC-MUSD / CL10 - 0.05%,Aerodrome Slipstream,Base,"$625,997",625997,9.84,9.84,27.98,,,9.84,,27.98,,,,,
26,USDC,Aave V3,Arbitrum,$4.25m,4250000,9.76,9.76,2.8,,,9.76,,2.8,150240000,145850000,4390000,,
27,USDC / vault,Avantis,Base,$50.05m,50050000,9.75,9.75,9.89,,,9.75,,9.89,,,,,
28,HYPERVBUSDCA,Morpho Blue,Katana,$1.52m,1520000,9.61,8.81,0.8,4.06,,0.8,,4.06,,,,,
29,AUSD,Neverland,Monad,$7.74m,7740000,9.51,4.44,5.07,9.98,,5.07,,9.98,50160000,42440000,7720000,,
30,BBQUSDT0,Morpho Blue,Monad,$6.26m,6260000,9.49,2.02,7.47,6.83,,7.47,,6.83,23252261.47111555,,636930784.87,0,"{""syrupUSDC"":38.1,""sUSDS"":22.04,""weETH"":10.14,""siUSD"":0.44,""XAUt0"":0.06,""PT-USDai-18JUN2026"":0,""bbqUSDC"":0,""sUSDe"":0,""WBTC"":10.01,""wsrUSD"":10.07,""wstETH"":4.17,""WETH"":4.97}"
31,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.48m,6480000,9.47,9.47,7.51,,,9.47,,7.51,,,,,
32,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$12.89m,12890000,9.42,9.42,7.92,,,9.42,,7.92,,,,,
33,USDT0,Neverland,Monad,$3.46m,3460000,9.18,4.03,5.15,9.32,,5.15,,9.32,16450000,13000000,3460000,,
34,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.13m,1130000,9.02,9.02,11.9,,,9.02,,11.9,,,,,
35,USDT,ZEROBASE CeDeFi,Arbitrum,$7.94m,7940000,9,7,2,9,,2,,9,,,,,
36,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,765",783765,9,7,2,9,,2,,9,,,,,
37,AUSD,Yearn Finance,Katana,$1.58m,1580000,8.93,8.93,3.75,,,8.93,,3.75,,,,,
38,USDC / baseUSD,AUTOfinance,Base,$5.68m,5680000,8.92,5.22,3.7,7.42,,3.7,,7.42,,,,,
39,USDC,Loopscale,Solana,$1.46m,1460000,8.68,7.61,1.07,8.51,,1.07,,8.51,,,,,
40,MSUSD-USDC,Aerodrome V1,Base,$7.64m,7640000,8.67,8.67,11.33,,,8.67,,11.33,,,,,
41,APXUSD / For LP | Maturity 18JUN2026,Pendle,Base,$3.28m,3280000,8.57,6.69,1.88,8.8,,1.88,,8.8,,,,,
42,SUSDAI / For LP | Maturity 18JUN2026,Pendle,Arbitrum,$6.48m,6480000,8.56,7.93,0.63,7.02,,0.63,,7.02,,,,,
43,SYZUSD,Yuzu Money,Monad,$14.28m,14280000,8.43,8.43,7.39,,,8.43,,7.39,,,,,
44,ZVUSDC,Zircuit Finance,Base,$1.49m,1490000,8.4,8.4,8.71,,,8.4,,8.71,,,,,
