rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,RE7USDC,Morpho Blue,Base,"$779,657",779657,288,288,46.78,,,288,,46.78,779982.0529098916,,24691205.98,0.08,"{""USR"":58.16,""AERO"":8.4,""cbBTC"":30.78,""mBASIS"":1.79,""wbCOIN"":0.87}"
2,USDC,Yearn Finance,Base,"$775,582",775582,155,155,53.29,,,155,,53.29,,,,,
3,MIM-USDC|Mim,Beefy,Arbitrum,$1.2m,1200000,20.02,12.17,,,,,,12.17,,,,,
4,SUPERUSDC|SuperVault,Superform,Base,$2.22m,2220000,16.94,4.25,12.69,10.69,,12.69,,10.69,,,,,
5,MSUSD-FRXUSD,Aerodrome V1,Base,$1.11m,1110000,15.94,15.94,16.49,,,15.94,,16.49,,,,,
6,AUSD-USDC-USDT0,Curve DEX,Monad,$2.96m,2960000,15.62,0,15.62,5.69,,15.62,,5.69,,,,,
7,AUGUSTUSDCV2,Morpho Blue,Monad,$5.74m,5740000,14.64,11.78,2.86,8.16,,2.86,,8.16,,,,,
8,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$929,347",929347,14.41,14.41,13.67,,,14.41,,13.67,,,,,
9,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.55m,3550000,13.84,13.84,14.26,,,13.84,,14.26,,,,,
10,USDC-USDM,Mento V3,Monad,"$573,475",573475,13.59,0.36,13.23,15.06,,13.23,,15.06,,,,,
11,AUGUSTUSDC,Morpho Blue,Monad,$5.16m,5160000,12.71,9.85,2.86,8.45,,2.86,,8.45,5160647.496160017,,159317041.94,3.14,"{""syzUSD"":44.73,""earnAUSD"":55.27}"
12,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,"$934,421",934421,12.33,11.13,1.2,15.74,10.61,15.74,,10.61,,,,,
13,USDC|yoUSD,YO Protocol,Base,$18.61m,18610000,11.54,3.74,7.8,14.12,,7.8,,14.12,,,,,
14,USDC|yoUSD,YO Protocol,Arbitrum,"$610,812",610812,11.54,3.74,7.8,14.12,,7.8,,14.12,,,,,
15,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.35,,,,,,11.35,,,,,
16,MIM-USDT0|Mim,Beefy,Arbitrum,$1.09m,1090000,11.1,10.5,,,,,,10.5,,,,,
17,ALUSD-USDC|Curve,Stake DAO,Arbitrum,"$658,394",658394,10.95,0.08,10.87,9.57,,10.87,,9.57,,,,,
18,FEUSDT0,Morpho Blue,Hyperliquid L1,$13.34m,13340000,10.88,10.88,7.47,,,10.88,,7.47,13329475.88256479,,93954685.35,12.42,"{""PT-kHYPE-19MAR2026"":26.23,""beHYPE"":0.38,""UBTC"":6.25,""WHYPE"":29.85,""kHYPE"":36.81,""wstHYPE"":0.47}"
19,FEUSDE,Morpho Blue,Hyperliquid L1,"$823,959",823959,10.84,10.84,8.86,,,10.84,,8.86,824481.8414435304,,16163131.94,4.85,"{""UBTC"":49.35,""WHYPE"":50.65}"
20,ALUSD-USDC,Curve DEX,Arbitrum,"$695,553",695553,10.67,0,10.67,9.46,,10.67,,9.46,,,,,
21,SUSDU,Unitas,Solana,$43.78m,43780000,10.49,10.49,10.91,,,10.49,,10.91,,,,,
22,USDC|arbUSD,AUTOfinance,Arbitrum,$3.67m,3670000,10.18,8.98,1.2,11.62,,1.2,,11.62,,,,,
23,AUSD,Neverland,Monad,$7.08m,7080000,9.54,4.43,5.11,9.65,,5.11,,9.65,,,,,
24,AUSD,Yearn Finance,Katana,$1.62m,1620000,9.08,9.08,5.73,,,9.08,,5.73,,,,,
25,SUSDAI|For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.74m,11740000,9.06,9.06,8.45,,,9.06,,8.45,,,,,
26,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.12m,1120000,9.04,9.04,11.28,,,9.04,,11.28,,,,,
27,USDC|vault,Avantis,Base,$48.44m,48440000,9.02,9.02,10.11,,,9.02,,10.11,,,,,
28,USDC|baseUSD,AUTOfinance,Base,$5.67m,5670000,9.02,5.15,3.88,8.11,,3.88,,8.11,,,,,
29,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,9,,2,,9,,,,,
30,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,508",783508,9,7,2,9,,2,,9,,,,,
31,USDT0,Neverland,Monad,$3.95m,3950000,8.81,3.65,5.15,9.19,,5.15,,9.19,,,,,
32,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$3.04m,3040000,8.71,14.02,,,,,,14.02,,,,,
33,MSUSD-USDC,Aerodrome V1,Base,$7.64m,7640000,8.69,8.69,10.74,,,8.69,,10.74,,,,,
34,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.36m,6360000,8.68,8.68,8.11,,,8.68,,8.11,,,,,
35,HYPERVBUSDCA,Morpho Blue,Katana,$1.53m,1530000,8.63,8.17,0.46,5.1,,0.46,,5.1,,,,,
36,ZVUSDC,Zircuit Finance,Base,$1.49m,1490000,8.58,8.58,8.61,,,8.58,,8.61,,,,,
37,USDC,YieldSeeker,Base,$1.27m,1270000,8.49,8.49,9.33,,,8.49,,9.33,,,,,
38,USDC,Neverland,Monad,$14.18m,14180000,8.29,3.88,4.4,8.13,,4.4,,8.13,,,,,
39,MSUSD-USDC|Aerodrome,Beefy,Base,"$693,076",693076,8.17,10.25,,,,,,10.25,,,,,
40,EARNAUSD,Upshift,Monad,$34.54m,34540000,7.98,5.93,2.05,8.07,,2.05,,8.07,,,,,
41,SUSDAI|For LP | Maturity 18JUN2026,Pendle,Arbitrum,$6.36m,6360000,7.84,7.11,0.73,7.51,,0.73,,7.51,,,,,
42,USDC,Loopscale,Solana,$1.85m,1850000,7.81,6.78,1.03,8.43,,1.03,,8.43,,,,,
43,SUSDAI|For LP | Maturity 15OCT2026,Pendle,Arbitrum,$11.74m,11740000,7.74,7.14,0.6,7.61,,0.6,,7.61,,,,,
44,AUSD|earnAUSD/AUSD,Curvance,Monad,$3.06m,3060000,7.69,5.45,2.24,7.82,,2.24,,7.82,,,,,
45,FEUSDC2,Morpho Blue,Hyperliquid L1,$19.69m,19690000,7.67,7.67,6.91,,,7.67,,6.91,19720952.723337647,,30270661.45,39.45,"{""wstHYPE"":1.37,""kHYPE"":14.14,""WHYPE"":84.49}"
46,BBQAUSD,Morpho Blue,Monad,$1.19m,1190000,7.57,1.11,6.46,9.09,,6.46,,9.09,1192929.6542104369,,228749530.85,0,"{""WBTC"":60.77,""wstETH"":9.06,""wsrUSD"":29.42,""XAUt0"":0.75}"
47,SYZUSD,Yuzu Money,Monad,$12.49m,12490000,7.42,7.42,7.53,,,7.42,,7.53,,,,,
48,USDC,DeltaPrime,Arbitrum,"$673,941",673941,7.38,7.38,6.43,,,7.38,,6.43,,,,,
