rank,pool,project,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
24,AUSD,Accountable,$9.9m,9900000,11.28,7.76,3.52,11.28
25,EARNAUSD,Upshift,$39.69m,39690000,11.17,6.14,5.03,8.63
26,RE7USDC,Morpho V1,$1.23m,1230000,11.1,11.1,43.8,100
27,ZVUSDC,Zircuit Finance,$1.51m,1510000,10.85,10.85,8.7,26.1
28,SUSDU,Unitas,$47.35m,47350000,10.64,10.64,10.64,11.94
29,GTUSDCC,Morpho V1,$2.48m,2480000,10.47,10.47,5.66,93.8
30,USDC,Purrlend,"$541,285",541285,10.41,4.64,10.38,93.6
31,MIM-USDT0 / Mim,Beefy,$1.15m,1150000,10.11,10.33,10.33,81.6
32,SUPERUSDC / SuperVault,Superform,$1.86m,1860000,9.87,4.31,5.99,59.8
33,USDC.E,Kinetic,"$582,655",582655,9.79,3.34,6.45,11
34,AUSD,Neverland,$8.38m,8380000.000000001,9.78,4.38,10.19,80.8
35,HYPERUSDCA,Morpho V1,$28.31m,28310000,9.75,7.41,6.75,94.9
36,USDT0,Neverland,$3.55m,3550000,9.54,4.03,9.2,83.9
37,BBQUSDC,Morpho V1,$19.51m,19510000,9.41,9.41,3.16,97.9
38,BBQUSDT0,Morpho V1,$30.18m,30180000,9.32,9.32,3.25,100
39,ALUSD-USDC / Curve,Stake DAO,"$698,808",698808,9.21,0.17,9.46,95.9
40,DAI-USDT / 0.00%,Uniswap V4,"$535,004",535004,9.2,9.2,9.2,12.46
41,ALUSD-USDC,Curve DEX,"$734,601",734601,9.14,0.23,9.93,100
42,BBQUSD1,Morpho V1,$3.59m,3590000,9.13,2.32,186,92.1
43,BBQUSD1,Morpho V1,$3.59m,3590000,9.06,9.06,362,100
44,USDT,ZEROBASE CeDeFi,$7.94m,7940000,9,7,9,99.7
45,USDC,ZEROBASE CeDeFi,"$790,852",790852,9,7,9,97.4
46,AUSD,Yearn Finance,$2.01m,2009999.9999999998,8.88,8.88,8.88,2.69
47,USDC,MortgageFi,"$730,051",730051,8.43,9.1,9.1,97.8
48,USDC,Fluid Lending,$30.4m,30400000,8.42,7.4,6.14,50.1
49,USDC / baseUSD,AUTOfinance,$6.05m,6050000,8.4,4.89,6.82,99.9
50,USDC / Euler Earn USDC,Euler V2,"$792,630",792630,8.3,8.3,3.54,61.2
51,USDC,Neverland,$17.25m,17250000,8.23,3.89,8.38,82.5
52,BBQUSDT0,Morpho V1,$30.15m,30150000,8.1,8.1,2.89,12.7
53,BBQUSDC,Morpho V1,$16.2m,16200000,8.03,8.03,2.78,26.1
54,USDC,Loopscale,$2.11m,2110000,8.03,7.44,0.59,8.38
55,USDC,Fluid Lending,$9.49m,9490000,8.01,5.76,6.7,27.5
56,AAVEUSDC-AAVEGHO,Aura,$6.37m,6370000,7.98,2.37,5.76,100
57,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,$12.9m,12900000,7.84,7.84,7.66,46.2
58,EDGEUSDC,Morpho V1,"$846,426",846426,7.8,5.21,4.98,89.2
59,USDC,Wasabi Perps,$4.09m,4090000,7.59,7.59,7.59,4.67
60,USDSUI,NAVI Lending,$1.54m,1540000,7.59,0.05,7.54,8.93
61,WABASGHO-WABASUSDC / Aura,Beefy,$1.63m,1630000,7.57,5.51,5.51,69.5
62,SUSDAI / For LP | Maturity 15OCT2026,Pendle,$12.9m,12900000,7.53,6.76,7.49,62.5
63,BBQUSDT0,Morpho V1,$5.32m,5320000,7.52,3.46,6.08,100
64,BBQUSDC,Morpho V1,$4.16m,4160000,7.51,7.51,4.97,87.8
65,BBQUSDT0,Morpho V1,$5.32m,5320000,7.5,3.08,6.04,99.3
66,APXUSD / For LP | Maturity 18JUN2026,Pendle,$3.11m,3110000,7.44,5.72,9.14,99.8
67,USDT,Symbiosis,"$941,168",941168,7.43,7.43,7.43,6.92
68,USDC-SUSD / stable - 0.05%,Velodrome V2,$1m,1000000,7.32,7.32,6.35,99.8
69,MIM-USDC / Mim,Beefy,$2.43m,2430000,7.28,7.18,7.18,89
70,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,$6.4m,6400000,7.24,7.24,7.12,62.3
71,GTUSDCF,Morpho V1,$2.01m,2009999.9999999998,7.23,7.23,5.1,80.3
72,USDC / Dolomite Balance,Dolomite,"$560,399",560399,7.2,7.2,7.2,4.14
73,SUSDAI / 30d unlock,USD AI,$259.2m,259200000,7.16,7.16,6.27,86.3
74,SYZUSD,Yuzu Money,$23.05m,23050000,7.13,7.13,7.29,100
75,USDAI / For buying PT-USDai-15OCT2026,Pendle,"$875,580",875580,7.13,7.13,6.12,91.4
76,SUSDAI / For LP | Maturity 18JUN2026,Pendle,$6.4m,6400000,7.02,6.65,6.95,79.9
77,GTUSDCF,Morpho V1,$1.15m,1150000,6.98,6.98,4.8,92.8
78,BBQUSDC,Morpho V1,$18.31m,18310000,6.97,6.97,4.95,65
79,USDC / 40 Acres,Harvest Finance,$2.02m,2020000,6.93,6.93,6.16,59.6
80,USDC / Harvest USDC vault Base,Fusion by IPOR,"$769,768",769768,6.76,6.76,4.34,62.3
81,USDC,Liqwid,"$527,466",527466,6.58,6.58,6.58,3.91
82,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,$1.2m,1200000,6.51,5.23,7.11,6.54
83,XUSD,Sovryn Dex,"$728,066",728066,6.48,6.48,6.48,6.54
84,USDC / Morpho,Beefy,"$947,379",947379,6.46,4.42,4.42,93.3
85,GHO,Fluid Lending,$3.37m,3370000,6.46,3.37,6.33,65.1
86,DTUSDC,Lagoon,"$675,986",675986,6.46,6.46,5.6,87.9
87,SPARKUSDC,Morpho V1,$14.88m,14880000,6.39,6.39,3.98,47.6
88,STEAKUSDC,Morpho V1,$274.06m,274060000,6.36,6.36,3.95,6.5
89,USDC / Morpho - Gauntlet Frontier V2,Harvest Finance,"$692,927",692927,6.35,6.35,4.5,100
90,USDC / Autopilot,Harvest Finance,"$769,865",769865,6.34,6.34,4.9,62.3
91,STEAKUSDC,Morpho V1,$511.72m,511720000,6.31,6.31,3.95,85.5
92,AAVEGHO-USDT-USDC,Aura,$7.4m,7400000,6.3,1.3,7.2,100
93,GTUSDCP,Morpho V1,$358.72m,358720000,6.3,6.3,3.95,79.8
94,PUSDC,Morpho V1,$4.43m,4430000,6.27,6.27,3.95,94.9
95,MWUSDC,Morpho V1,$12.99m,12990000,6.22,6.22,3.95,37.7
96,GTUSDCC,Morpho V1,$1.64m,1640000,6.02,6.02,3.97,94.7
97,HYPERUSDCA,Morpho V1,$28.32m,28320000,6,4.08,6.84,100
98,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,$3.67m,3670000,5.99,6.85,6.85,70.4
99,USDC / TermMax USDC Vault,TermMax,$1.24m,1240000,5.94,5.94,3.9,100
100,STEAKUSDC,Morpho V1,$62.42m,62420000,5.79,5.79,3.94,95.3
