rank,pool,project,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
1,USDC.E-USDT.E,Yuzu Finance,"$827,541",827541,28.7,0.36,28.34,25.49
2,AUGUSTUSDC,Morpho V1,$5.32m,5320000,18.86,16.52,7.46,100
3,USDC / yoUSD,YO Protocol,$24.72m,24720000,16.96,4.96,14.1,60.3
4,USDC / yoUSD,YO Protocol,"$584,471",584471,16.96,4.96,14.13,89.6
5,FEUSDH,Morpho V1,$4.16m,4160000,16.76,16.76,5.26,54.8
6,IUSD,Indigo,$4.57m,4570000,16.75,16.75,16.75,17.97
7,BBQUSDC,Morpho V1,$1.62m,1620000,16.07,15.36,4.29,100
8,BBQUSDC,Morpho V1,$1.61m,1610000,15.52,13.18,4.23,87.4
9,USDC / Clearstar Earn USDC,Euler V2,"$631,664",631664,14.47,14.47,2.89,99.4
10,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,$2.7m,2700000,13.95,14.16,14.16,78.3
11,USDC-MSUSD / stable - 0.05%,Velodrome V2,$1.22m,1220000,13.89,13.89,11.35,100
12,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,$3.11m,3110000,13.64,13.64,14.31,97.9
13,USDC-MSUSD / stable - 0.05%,Velodrome V2,$1.32m,1320000,13.24,13.24,10.85,100
14,AUGUSTUSDCV2,Morpho V1,$5.32m,5320000,13.06,10.72,7.17,99.7
15,MSUSD-USDC,Extra Finance Leverage Farming,$1.19m,1190000,13.03,13.03,11.88,99.9
16,RE7USDC,Morpho V1,$2.03m,2029999.9999999998,12.31,12.31,4.98,99.7
17,MSUSD-USDC,Aerodrome V1,$6.7m,6700000,12.3,12.3,11.27,99.9
18,USDC / arbUSD,AUTOfinance,$1.96m,1960000,12.14,10.26,8.12,100
19,MSUSD-USDC / Aerodrome,Beefy,"$620,336",620336,11.75,10.8,10.8,51.6
20,DJED,Liqwid,$1.72m,1720000,11.53,11.53,11.53,11.93
21,USDC / vault,Avantis,$59.93m,59930000,11.53,11.53,9.67,32.6
22,USDC,Sprinter,$2.96m,2960000,11.35,10.17,,10.17
23,AUSD,Accountable,"$525,519",525519,11.3,6.3,5,11.3
