rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,"$952,691",952691,21.94,19.42,2.52,15.76,11.6,15.76,,11.6,,,,,
2,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$2.49m,2490000,17.86,8.96,8.9,21.62,,8.9,,21.62,,,,,
3,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$3.04m,3040000,17.57,13.75,,,,,,13.75,,,,,
4,MIM-USDC|Mim,Beefy,Arbitrum,$1.23m,1230000,16.23,13.23,,,,,,13.23,,,,,
5,AUSD-USDC-USDT0,Curve DEX,Monad,$3.3m,3300000,16.02,0,16.02,7.36,,16.02,,7.36,,,,,
6,AUGUSTUSDCV2,Morpho Blue,Monad,$7.61m,7610000,15.88,12.76,3.13,8.39,,3.13,,8.39,,,,,
7,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.59m,3590000,14.97,14.97,14.23,,,14.97,,14.23,,,,,
8,USDC-USDM,Mento V3,Monad,"$554,492",554492,14.65,0.97,13.68,14.9,,13.68,,14.9,,,,,
9,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$941,023",941023,14.6,14.6,14.14,,,14.6,,14.14,,,,,
10,AUSD,Metrom,Katana,$1.67m,1670000,13.7,9.25,4.45,13.65,,4.45,,13.65,,,,,
11,SUSDU,Unitas,Solana,$32.58m,32580000,13.6,13.6,10.68,,,13.6,,10.68,,,,,
12,MSUSD-FRXUSD,Aerodrome V1,Base,$1.05m,1050000,13.17,13.17,16.37,,,13.17,,16.37,,,,,
13,USDC,Metrom,Katana,$14.67m,14670000,12.07,2.28,9.79,11.96,,9.79,,11.96,,,,,
14,FEUSDH2,Morpho Blue,Hyperliquid L1,$10.2m,10200000,12.03,12.03,7.23,,,12.03,,7.23,10200223.01538191,,29798988.22,25.5,"{""kHYPE"":27.15,""WHYPE"":59.04,""wstHYPE"":13.81}"
15,USDC|yoUSD,YO Protocol,Base,$17.17m,17170000,11.59,3.79,7.8,14.71,,7.8,,14.71,,,,,
16,USDC|yoUSD,YO Protocol,Arbitrum,"$610,514",610514,11.59,3.79,7.8,14.69,,7.8,,14.69,,,,,
17,MIM-USDT0|Mim,Beefy,Arbitrum,$1.1m,1100000,11.38,10.64,,,,,,10.64,,,,,
18,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.35,,,,,,11.35,,,,,
19,AUGUSTUSDC,Morpho Blue,Monad,$2.83m,2830000,11.29,7.78,3.5,8.57,,3.5,,8.57,4011.7414641878895,,164467114.55,0,"{""earnAUSD"":100}"
20,USDC,Accountable,Monad,"$569,865",569865,10.93,8,2.93,11.79,,2.93,,11.79,,,,,
21,SUPERUSDC|SuperVault,Superform,Base,$2.18m,2180000,10.7,4.36,6.35,11.59,,6.35,,11.59,,,,,
22,USDT,Metrom,Katana,$4.45m,4450000,10.38,2.67,7.7,10.19,,7.7,,10.19,,,,,
23,USDC|vault,Avantis,Base,$47.7m,47700000,9.39,9.39,10.13,,,9.39,,10.13,,,,,
24,AUSD,Yearn Finance,Katana,$1.62m,1620000,9.25,9.25,0.0001,6.59,,0.0001,,6.59,,,,,
25,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.12m,1120000,9.24,9.24,11.21,,,9.24,,11.21,,,,,
26,AUSD,Neverland,Monad,$7.46m,7460000,9.18,4.43,4.74,9.62,,4.74,,9.62,,,,,
27,AUSD|earnAUSD/AUSD,Curvance,Monad,$1.62m,1620000,9.15,6.65,2.5,8.06,,2.5,,8.06,,,,,
28,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.39m,6390000,9.11,9.11,8.3,,,9.11,,8.3,,,,,
29,SUSDAI|For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.26m,11260000,9.1,9.1,8.55,,,9.1,,8.55,,,,,
30,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,9,,2,,9,,,,,
31,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,578",783578,9,7,2,9,,2,,9,,,,,
32,MSUSD-USDC,Aerodrome V1,Base,$7.67m,7670000,8.78,8.78,10.6,,,8.78,,10.6,,,,,
33,USDC,YieldSeeker,Base,$1.25m,1250000,8.78,8.78,9.2,,,8.78,,9.2,,,,,
34,ZVUSDC,Zircuit Finance,Base,$1.5m,1500000,8.75,8.75,8.6,,,8.75,,8.6,,,,,
35,USDC|baseUSD,AUTOfinance,Base,$6.12m,6120000,8.75,5.15,3.6,8.36,,3.6,,8.36,,,,,
