rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
87,USDT,ZEROBASE CeDeFi,Op Mainnet,$8.11m,8109999.999999999,5.3,3.3,2,5.3,,2,,5.3,,,,,
88,SUSDAI-USDC,Curve DEX,Arbitrum,$3.4m,3400000,5.23,5.23,4.24,,,5.23,,4.24,,,,,
89,FEUSDT0,Morpho Blue,Hyperliquid L1,$11.05m,11050000,5.22,5.22,7.67,,,5.22,,7.67,10907324.68369101,,96361355.76,10.17,"{""wstHYPE"":0.58,""kHYPE"":53.88,""WHYPE"":30.69,""UBTC"":8.25,""PT-kHYPE-19MAR2026"":6.27,""beHYPE"":0.33}"
90,USDC,HyperLend Pooled,Hyperliquid L1,$12.41m,12410000,5.19,5.19,5,,,5.19,,5,75220000,61320000,13900000,,
91,USDC,Moonwell Lending,Base,$2.07m,2069999.9999999998,5.1,3.83,1.27,4.68,,1.27,,4.68,15120000,13060000,2060000,,
92,BBQUSDC,Morpho Blue,Base,$3.96m,3960000,5,5,5.47,,,5,,5.47,2902854.9767546603,,507023564.36,0,"{""PT-USDai-18JUN2026"":39.2,""weETH"":58.09,""syrupUSDC"":2.52,""WETH"":0.19,""wsrUSD"":0}"
93,MWUSDC,Morpho Blue,Base,$9.98m,9980000,4.95,4,0.96,4.62,,0.96,,4.62,22600.778112049135,,,,"{""Unknown"":100}"
94,USDC / SuperchargerV2,WOOFi Earn,Base,"$538,387",538387,4.87,4.87,4.86,,,4.87,,4.86,,,,,
95,USDC / Harvest USDC vault Base,Fusion by IPOR,Base,"$662,630",662630,4.8,4.8,4.89,,,4.8,,4.89,,,,,
96,VBUSDT,Yearn Finance,Katana,$4.56m,4560000,4.76,2.69,2.07,2.86,,2.07,,2.86,,,,,
97,GTUSDCC,Morpho Blue,Hyperliquid L1,$1.58m,1580000,4.73,4.73,6.31,,,4.73,,6.31,1620031.6806737224,,6378239.46,0,"{""kHYPE"":23.18,""UBTC"":49.78,""WHYPE"":27.04}"
98,USDC / SuperchargerV2,WOOFi Earn,Arbitrum,"$773,429",773429,4.71,4.71,4.71,,,4.71,,4.71,,,,,
99,USDC-ALUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.62m,1620000,4.69,4.69,5.13,,,4.69,,5.13,,,,,
