rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,RE7USDC,Morpho Blue,Base,"$792,492",792492,71.23,71.23,15.65,,,71.23,,15.65,792749.7549454129,,24662004.34,0.08,"{""AERO"":8.26,""USR"":55.21,""cbBTC"":33.99,""mBASIS"":1.75,""wbCOIN"":0.79}"
2,MIM-USDC / Mim,Beefy,Arbitrum,$1.17m,1170000,22.62,9.18,,,,,,9.18,,,,,
3,MSUSD-FRXUSD,Aerodrome V1,Base,"$964,811",964811,16.92,16.92,16.42,,,16.92,,16.42,,,,,
4,AUSD-USDC-USDT0,Curve DEX,Monad,$3.25m,3250000,15.98,0,15.98,2.44,,15.98,,2.44,,,,,
5,USDC / yoUSD,YO Protocol,Base,$19.19m,19190000,15.76,3.76,12,13.82,,12,,13.82,,,,,
6,USDC / yoUSD,YO Protocol,Arbitrum,"$566,208",566208,15.76,3.76,12,13.84,,12,,13.84,,,,,
7,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.08m,1080000,15.1,15.1,13.79,,,15.1,,13.79,,,,,
8,USDC-USDM,Mento V3,Monad,"$521,756",521756,15.01,0.47,14.53,15.67,,14.53,,15.67,,,,,
9,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.28m,3280000,14.36,14.36,14.19,,,14.36,,14.19,,,,,
10,SUPERUSDC / SuperVault,Superform,Base,$1.31m,1310000,13.77,6.04,7.73,8.12,,7.73,,8.12,,,,,
11,USDC-MUSD / CL10 - 0.05%,Aerodrome Slipstream,Base,"$530,752",530752,13.63,13.63,21.96,,,13.63,,21.96,,,,,
12,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$2.94m,2940000,13.6,14.14,,,,,,14.14,,,,,
13,USDC / Compound,Beefy,Base,$1.23m,1230000,12.49,3.27,,,,,,3.27,,,,,
14,AAVEGHO-USDT-USDC,Aura,Arbitrum,$4.31m,4310000,12.04,3.46,8.58,8.81,,8.58,,8.81,,,,,
15,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.09m,1090000,11.9,10.28,,,,,,10.28,,,,,
16,USDC / arbUSD,AUTOfinance,Arbitrum,$3.55m,3550000,11.84,10.59,1.25,10.2,,1.25,,10.2,,,,,
17,USDC,YieldSeeker,Base,$1.27m,1270000,11.44,11.44,10.21,,,11.44,,10.21,,,,,
18,USDC,Sprinter,Base,$2.96m,2960000,11.35,10.95,,,,,,10.95,,,,,
19,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3,,5,,11.3,,,,,
20,GTUSDCC,Morpho Blue,Unichain,$1.13m,1130000,10.97,10.97,6.5,,,10.97,,6.5,1767750.9375544705,,6230888.3,0,"{""UBTC"":38.32,""WHYPE"":30.84,""kHYPE"":30.84}"
21,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$690,519",690519,10.08,0.04,10.04,9.7,,10.04,,9.7,,,,,
