rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,SUSDU,Unitas,Solana,$9.28m,9280000,32.16,32.16,,,,13.49,,,,,,,
2,LIMUSD|For LP | Maturity 26NOV2026,Pendle,Hyperliquid L1,$1.61m,1610000,23.98,14.04,9.94,,,20.81,,,,,,,
3,GTUSDT,Morpho Blue,Katana,$3.63m,3630000,17.12,5.35,11.77,,,3.98,,,9.990758603843437e-7,,39963.03,0,"{""WHYPE"":100}"
4,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,13.35,,,,,,,
5,USDC,Metrom,Base,$1.25m,1250000,16.49,16.49,,,,16.77,,,,,,,
6,AUSD-USDC-USDT0,Curve DEX,Monad,$2.79m,2790000,16,0,16,,,14.73,,,,,,,
7,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$4.04m,4040000,14.4,11.9,2.5,,,17.45,,,,,,,
8,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,$1.03m,1030000,13.56,13.56,13.56,,,13.11,,,,,,,
9,USDC-USDM,Mento V3,Monad,"$570,049",570049,13.56,0.25,13.3,,,14.54,,,,,,,
10,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$4.14m,4139999.9999999995,13.05,13.05,,,,13.23,,,,,,,
11,ZVUSDC,Zircuit Finance,Base,$1.5m,1500000,12.7,12.7,,,,8.61,,,,,,,
12,USDC|yoUSD,YO Protocol,Base,$15.93m,15930000,12.04,4.24,7.8,,,13.22,,,,,,,
13,USDC|yoUSD,YO Protocol,Arbitrum,"$548,576",548576,12.04,4.24,7.8,,,13.23,,,,,,,
14,USDC,Metrom,Katana,$15.9m,15900000,12.03,2.77,9.26,,,12.28,,,,,,,
15,USDC|vault,Avantis,Base,$45.24m,45240000,11.95,11.95,,,,10.09,,,,,,,
16,MSUSD-FRXUSD,Aerodrome V1,Base,"$785,126",785126,11.71,11.71,11.71,,,15.42,,,,,,,
17,MIM-USDC|Mim,Beefy,Arbitrum,$1.22m,1220000,11.63,11.63,,,,16.3,,,,,,,
18,FEUSDH2,Morpho Blue,Hyperliquid L1,$1.9m,1900000,11.49,11.49,,,,7,,,1895670.365836763,,38090851.53,4.74,"{""kHYPE"":45.33,""WHYPE"":45.5,""wstHYPE"":9.17}"
19,AUSD|EVK Vault eAUSD-16,Euler V2,Monad,"$867,926",867926,11.25,7.93,3.32,,,9.29,,,9470000,8600000,867926,,
20,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.77m,3770000,10.94,10.94,,,,14.7,,,,,,,
21,MIM-USDT0|Mim,Beefy,Arbitrum,$1.1m,1100000,10.64,10.64,,,,11.13,,,,,,,
22,USDC,Harmonix Finance,Hyperliquid L1,$12.53m,12530000,10.08,10.08,,,,10.45,,,,,,,
23,FEUSDT02,Morpho Blue,Hyperliquid L1,$1.75m,1750000,9.99,9.99,,,,7.3,,,1747887.6329723462,,55200052.94,3.07,"{""UETH"":8.92,""WHYPE"":1.63,""UBTC"":7.19,""hwHLP"":3.79,""WHLP"":0.56,""hbUSDT"":1.7,""thBILL"":60.73,""kHYPE"":15.44,""PT-hbUSDT-18DEC2025"":0.03}"
24,USDT,Metrom,Katana,$4.14m,4139999.9999999995,9.99,2.73,7.26,,,10.18,,,,,,,
25,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.43m,1430000,9.96,7.31,2.65,8.44,,14.43,,,,,,,
26,SUSDAI|For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$12.78m,12780000,9.73,9.73,,,,9.28,,,,,,,
27,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$9.59m,9590000,9.45,9.45,,,,9.2,,,,,,,
28,SUPERUSDC|SuperVault,Superform,Base,$3.13m,3130000,9.42,3.86,5.57,,,12.5,,,,,,,
29,FEUSD|WHYPE Stability Pool,Felix CDP,Hyperliquid L1,$8.29m,8289999.999999999,9.07,9.07,,,,9.24,,,,,,,
30,USDC,YieldSeeker,Base,$1.25m,1250000,9.01,9.01,,,,9.04,,,,,,,
31,USDT,ZEROBASE CeDeFi,Arbitrum,$7.92m,7920000,9,7,2,,,9,,,,,,,
32,USDC,ZEROBASE CeDeFi,Arbitrum,"$782,895",782895,9,7,2,,,9,,,,,,,
33,USDC|40 Acres,Harvest Finance,Base,$1.92m,1920000,8.71,8.71,,,,8.88,,,,,,,
34,FEUSDC2,Morpho Blue,Hyperliquid L1,$27.26m,27260000,8.69,8.69,,,,7.49,,,27401733.791952725,,32579237.59,45.68,"{""wstHYPE"":0.72,""WHYPE"":88.97,""kHYPE"":10.31}"
