rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
74,SUSDAI / 30d unlock,USD AI,Arbitrum,$259.23m,259230000.00000003,7.15,7.15,7.15,6.33
75,USDC-SUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.02m,1020000,7.06,7.06,7.06,6.42
76,USDC / MainMarket,Current,Sui,$2.14m,2140000,6.97,1.14,5.84,6.22
77,USDC / 40 Acres,Harvest Finance,Base,$2.02m,2020000,6.93,6.93,6.93,6.31
78,USDC / Autopilot,Harvest Finance,Base,"$718,551",718551,6.88,6.88,6.88,5.2
79,USDC,Liqwid,Cardano,"$517,749",517749,6.71,6.71,6.71,4.15
80,AUSD / earnAUSD/AUSD,Curvance,Monad,$2.03m,2029999.9999999998,6.69,6.69,6.69,6.93
81,USDC / Morpho - Gauntlet Frontier V2,Harvest Finance,Base,"$574,855",574855,6.67,6.67,6.67,5.16
82,XUSD,Sovryn Dex,Rootstock,"$728,066",728066,6.48,6.48,6.48,6.53
83,USDC,DeltaPrime,Arbitrum,"$708,215",708215,6.47,6.47,6.47,6.39
84,DTUSDC,Lagoon,Base,"$676,501",676501,6.43,6.43,6.43,5.63
85,USDC / Harvest USDC vault Base,Fusion by IPOR,Base,"$718,558",718558,6.29,6.29,6.29,4.62
86,USDC,Extra Finance Leverage Farming,Base,$3.68m,3680000,6.28,6.28,6.28,5.13
87,USDY,Toros,Arbitrum,"$542,991",542991,6.23,4.84,,4.84
88,USDC,Gains Network,Arbitrum,$8.44m,8440000,6.19,6.19,6.19,6.47
89,SPARKUSDC,Morpho V1,Base,$9.72m,9720000,6,6,6,4.16
90,GTUSDCC,Morpho V1,Base,$1.65m,1650000,5.98,5.98,5.98,4.15
91,USDC,Wasabi Perps,Solana,"$844,118",844118,5.89,5.89,5.89,5.7
92,USDC,Harmonix Finance,Arbitrum,"$857,291",857291,5.89,5.89,5.89,5.3
93,USDC,Compound V3,Base,"$864,505",864505,5.88,5.88,5.88,3.02
94,USDAI / For buying PT-USDai-18JUN2026,Pendle,Arbitrum,$35.88m,35880000,5.87,5.87,5.87,5.26
95,MWUSDC,Morpho V1,Base,$10.84m,10840000,5.81,5.81,5.81,4.12
