rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$2.76m,2760000,20.73,12.88,7.85,,,20.11,,,,,,,
2,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,11.45,,,,,,,
3,MIM-USDC / Mim,Beefy,Arbitrum,$1.22m,1220000,16.41,16.41,,,,14.28,,,,,,,
4,AUSD-USDC-USDT0,Curve DEX,Monad,$3.81m,3810000,16.01,0,16.01,,,9.19,,,,,,,
5,SUSDU,Unitas,Solana,$28.12m,28120000,15.92,15.92,,,,10.91,,,,,,,
6,MSUSD-FRXUSD,Aerodrome V1,Base,$1.01m,1010000,15.9,15.9,,,,15.6,,,,,,,
7,USDCAD-USDC,GMTrade,Solana,$1.36m,1360000,15.74,15.74,,,,15.75,,,,,,,
8,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.66m,3660000,15.55,15.55,,,,14.3,,,,,,,
9,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,"$944,342",944342,15.54,15.54,,,,14.57,,,,,,,
10,USDC-USDM,Mento V3,Monad,"$519,122",519122,15.41,0.8,14.61,,,14.92,,,,,,,
11,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,"$986,913",986913,15.36,12.21,3.15,13.72,,12.69,,,,,,,
12,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$3.66m,3660000,14.49,14.49,,,,13.71,,,,,,,
13,AUSD,Metrom,Katana,$1.72m,1720000,13.88,9.43,4.45,,,13.74,,,,,,,
14,USDC,Metrom,Katana,$15.49m,15490000,12.16,2.5,9.66,,,12.15,,,,,,,
15,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.1m,1100000,11.9,11.9,,,,10.81,,,,,,,
16,USDC / yoUSD,YO Protocol,Base,$16.62m,16620000.000000002,11.78,3.98,7.8,,,14.93,,,,,,,
17,USDC / yoUSD,YO Protocol,Arbitrum,"$610,209",610209,11.78,3.98,7.8,,,14.92,,,,,,,
18,AUGUSTUSDC,Morpho Blue,Monad,$2.83m,2830000,11.29,7.78,3.5,,,8.86,,,0.000001999622436498363,,164468945.4,0,"{""earnAUSD"":100}"
19,SUPERUSDC / SuperVault,Superform,Base,$2.5m,2500000,11.14,4.29,6.85,,,12.06,,,,,,,
20,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.11m,1110000,11.03,11.03,,,,11.04,,,,,,,
21,USDC,Accountable,Monad,"$571,938",571938,11,8,3,,,11.56,,,,,,,
22,USDC / 40 Acres,Harvest Finance,Base,$1.97m,1970000,10.79,10.79,,,,6.97,,,,,,,
23,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$754,811",754811,10.61,0.54,10.07,,,9.53,,,,,,,
24,MSUSD-USDC,Aerodrome V1,Base,$7.46m,7460000,10.45,10.45,,,,10.41,,,,,,,
25,USDT,Metrom,Katana,$4.67m,4670000,10.15,2.72,7.43,,,10.22,,,,,,,
