rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,SYRUPUSDC-USDC,aerodrome slipstream,Base,$503.7k,503728,40.44756,40.44756,40.44756,,,12.22979,,,503728,,,,
2,USDC-USDT,aerodrome slipstream,Base,$1.03m,1027105,18.04908,8.90058,9.1485,10.9057,,14.72447,,,1027105,,,,
3,MSUSD-USDC,aerodrome slipstream,Base,$22.66m,22662118,17.80219,16.19926,1.60293,6.08578,,3.52081,,,22662118,,,,
4,USDC-USDBC,aerodrome slipstream,Base,$669.9k,669943,17.74704,16.13645,1.61059,3.86705,,2.80495,,,669943,,,,
5,USDC,sprinter,Base,$2.96m,2963259,16.65825,16.65825,,,,13.85899,,,2963259,,,,
6,USDC,metrom,Base,$1.25m,1245926,16.49396,16.49396,,,,16.77064,,,1245926,,,,
7,DAI-USDT,uniswap v4,Polygon,$758.3k,758310,13.80187,13.80187,,,,9.80035,,,758310,,,,
8,MSUSD-FRXUSD,aerodrome v1,Base,$717.3k,717265,13.63631,13.63631,13.63631,,,14.75416,,,717265,,,,
9,USDC-DAI,uniswap v4,Polygon,$563.8k,563818,12.62564,12.62564,,,,7.7695,,,563818,,,,
10,MIM-USDC,beefy,Arbitrum,$1.23m,1227568,11.814,11.814,,,,16.19059,,,1227568,,,,
11,USDC,avantis,Base,$45.02m,45024973,11.51267,11.51267,,,,10.14091,,,45024973,,,,
12,EURC-USDC,aerodrome slipstream,Base,$2.68m,2676577,10.7575,8.47763,2.27988,18.2815,,24.97201,,,2676577,,,,
13,MIM-USDT0,beefy,Arbitrum,$1.10m,1101580,10.41142,10.41142,,,,11.11594,,,1101580,,,,
14,USDC-USDC,uniswap v4,Polygon,$908.9k,908897,10.20894,10.20894,,,,6.30733,,,908897,,,,
15,SUPERUSDC,superform,Base,$3.03m,3030995,9.89677,4.72433,5.17244,,,12.29671,,,3030995,,,,
16,APXUSD,pendle,Base,$3.65m,3649582,9.8254,9.8254,,,,14.42484,,,3649582,,,,
17,SUSDAI,pendle,Arbitrum,$8.99m,8994791,9.64786,9.64786,,,,9.28025,,,8994791,,,,
18,SUSDAI,pendle,Arbitrum,$11.77m,11774208,9.60797,9.60797,,,,9.37581,,,11774208,,,,
19,USDC,yieldseeker,Base,$1.29m,1290458,9.12277,9.12277,,,,9.02517,,,1290458,,,,
20,USDT,zerobase cedefi,Arbitrum,$7.92m,7919159,9,7,2,,,9,,,7919159,,,,
21,USDC,zerobase cedefi,Arbitrum,$783.8k,783825,9,7,2,,,9,,,783825,,,,
22,USDC,harvest finance,Base,$1.90m,1897291,8.78,8.78,,,,9.09375,,,1897291,,,,
23,ZVUSDC,zircuit finance,Base,$1.50m,1504859,8.44934,8.44934,,,,8.59101,,,1504859,,,,
24,HYPERUSDCA,morpho blue,Arbitrum,$712.4k,712416,8.38334,8.38334,0,,,4.68715,,,712416,,,,
25,USDC,deltaprime,Arbitrum,$655.1k,655141,8.21776,8.21776,,,,7.72464,,,655141,,,,
26,USDC,autofinance,Arbitrum,$726.5k,726511,8.20996,4.964,3.24596,,,8.39107,,,726511,,,,
27,USDC,autofinance,Base,$7.55m,7553234,8.13095,5.0735,3.05745,,,8.69448,,,7553234,,,,
28,GTUSDCC,morpho blue,Arbitrum,$3.05m,3054539,8.1123,8.1123,0,,,3.99624,,,3054539,,,,
29,SUSDAI,pendle,Arbitrum,$11.77m,11774208,8.10281,7.20178,0.90102,,,8.18962,,,11774208,,,,
