rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,RE7USDC,Morpho V1,Base,"$788,957",788957,32.8,32.8,6.67,,,32.8,,6.67,788993.5763119138,,26146606.48,0.08,"{""AERO"":8.3,""USR"":54.82,""cbBTC"":34.36,""mBASIS"":1.75,""wbCOIN"":0.78}"
2,BBQUSDT0,Morpho V1,Monad,$2.52m,2520000,19.84,11.52,8.32,6.45,,8.32,,6.45,24960852.136089668,,635114826.91,0,"{""sUSDe"":0,""syrupUSDC"":44.51,""sUSDS"":23.32,""weETH"":6.22,""PT-USDai-18JUN2026"":0,""siUSD"":0.4,""XAUt0"":0.05,""bbqUSDC"":0,""WBTC"":7.31,""wsrUSD"":11.89,""wstETH"":3.73,""WETH"":2.58}"
3,FEUSDT0,Morpho V1,Hyperliquid L1,$11.62m,11620000,19.73,19.73,5.79,,,19.73,,5.79,11740441.56214977,,95544173.85,10.94,"{""kHYPE"":53.95,""UBTC"":7.35,""WHYPE"":31.17,""PT-kHYPE-19MAR2026"":6.64,""beHYPE"":0.35,""wstHYPE"":0.54}"
4,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.03m,1030000,16.12,16.12,12.69,,,16.12,,12.69,,,,,
5,FEUSDT02,Morpho V1,Hyperliquid L1,$1.86m,1860000,16.02,16.02,6.41,,,16.02,,6.41,1806825.5870099517,,55185471.84,3.17,"{""hwHLP"":3.99,""WHYPE"":0.01,""UBTC"":7.28,""hbUSDT"":3.22,""WHLP"":0.68,""UETH"":9.08,""thBILL"":57.48,""kHYPE"":18.23,""PT-hbUSDT-18DEC2025"":0.03}"
6,USDC / yoUSD,YO Protocol,Base,$20.25m,20250000,15.83,3.83,12,14.1,,12,,14.1,,,,,
7,USDC / yoUSD,YO Protocol,Arbitrum,"$534,382",534382,15.83,3.83,12,14.12,,12,,14.12,,,,,
8,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,"$966,380",966380,14.4,13.52,0.88,11.14,6.88,11.14,,6.88,,,,,
9,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$2.87m,2870000,14.23,14.23,,,,,,14.23,,,,,
10,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.12m,3120000,13.98,13.98,14.19,,,13.98,,14.19,,,,,
11,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.17m,1170000,13.33,13.33,12.06,,,13.33,,12.06,,,,,
12,MSUSD-USDC,Aerodrome V1,Base,$6.42m,6420000,13.03,13.03,11.46,,,13.03,,11.46,,,,,
13,USDC / arbUSD,AUTOfinance,Arbitrum,$1.96m,1960000,12.63,10.77,1.86,8.8,,1.86,,8.8,,,,,
14,MSUSD-USDC / Aerodrome,Beefy,Base,"$672,590",672590,12.46,10.99,,,,,,10.99,,,,,
15,FEUSDH,Morpho V1,Hyperliquid L1,$4m,4000000,12.28,12.28,6.12,,,12.28,,6.12,3996402.1507991296,,35990187.08,9.99,"{""UBTC"":13.59,""kHYPE"":9.07,""WHYPE"":77.34}"
16,AAVEUSDC-AAVEGHO,Aura,Base,$5.29m,5290000,11.82,5.07,6.74,6.39,,6.74,,6.39,,,,,
17,SUPERUSDC / SuperVault,Superform,Base,$1.3m,1300000,11.46,5.43,6.03,6.63,,6.03,,6.63,,,,,
18,USDC,Sprinter,Base,$2.96m,2960000,11.35,10.43,,,,,,10.43,,,,,
19,USDC / vault,Avantis,Base,$53.06m,53060000,11.33,11.33,9.83,,,11.33,,9.83,,,,,
20,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3,,5,,11.3,,,,,
21,AAVEGHO-USDT-USDC,Aura,Arbitrum,$4.9m,4900000,11,3.45,7.55,7.37,,7.55,,7.37,,,,,
22,MIM-USDC / Mim,Beefy,Arbitrum,$1.16m,1160000,10.78,7.29,,,,,,7.29,,,,,
23,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.11m,1110000,10.66,10.29,,,,,,10.29,,,,,
24,AUGUSTUSDC,Morpho V1,Monad,$5.98m,5980000,10.57,7.45,3.11,8.09,,3.11,,8.09,5991666.668310512,,158482335.93,3.64,"{""syzUSD"":46.38,""earnAUSD"":53.62}"
25,AUGUSTUSDCV2,Morpho V1,Monad,$5.98m,5980000,10.26,7.15,3.11,7.89,,3.11,,7.89,,,,,
26,SUSDU,Unitas,Solana,$46.05m,46050000,10.25,10.25,11.68,,,10.25,,11.68,,,,,
27,BBQUSD1,Morpho V1,Monad,$1.52m,1520000,9.74,4.5,5.24,163,,5.24,,163,1522948.1294962158,,48467897.27,0,"{""wsrUSD"":100}"
28,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$690,189",690189,9.59,0.28,9.31,9.29,,9.31,,9.29,,,,,
29,USDT0,Neverland,Monad,$2.86m,2860000,9.57,4.33,5.25,9.24,,5.25,,9.24,16810000,13950000,2860000,,
30,AUSD,Neverland,Monad,$8.37m,8369999.999999999,9.53,4.38,5.14,10.11,,5.14,,10.11,51430000,43060000,8369999.999999999,,
31,HYPERVBUSDCA,Morpho V1,Katana,$1.51m,1510000,9.52,9.52,3.26,,,9.52,,3.26,,,,,
32,ALUSD-USDC,Curve DEX,Arbitrum,"$726,378",726378,9.32,0.1,9.22,9.68,,9.22,,9.68,,,,,
33,USDC / baseUSD,AUTOfinance,Base,$5.72m,5720000,9.06,5.4,3.66,7.11,,3.66,,7.11,,,,,
34,USDT,ZEROBASE CeDeFi,Arbitrum,$7.94m,7940000,9,7,2,9,,2,,9,,,,,
35,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,821",783821,9,7,2,9,,2,,9,,,,,
36,AUSD,Yearn Finance,Katana,$1.96m,1960000,8.89,8.89,3.05,,,8.89,,3.05,,,,,
37,ZVUSDC,Zircuit Finance,Base,$1.49m,1490000,8.81,8.81,8.7,,,8.81,,8.7,,,,,
