rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,SUSDU,Unitas,Solana,$9.23m,9230000,32.36,32.36,,,,11.17,,,,,,,
2,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,12.78,,,,,,,
3,USDC,Metrom,Base,$1.25m,1250000,16.48,16.48,,,,16.81,,,,,,,
4,FEUSDC2,Morpho Blue,Hyperliquid L1,$26.61m,26610000,16.4,16.4,,,,7.27,,,26993011.739589814,,27991297.26,49.09,"{""kHYPE"":10.16,""WHYPE"":88.82,""wstHYPE"":1.02}"
5,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.76m,3760000,15.85,15.85,,,,14.72,,,,,,,
6,AUSD-USDC-USDT0,Curve DEX,Monad,$4.41m,4410000,14.22,0,14.22,,,13.04,,,,,,,
7,USDC-USDM,Mento V3,Monad,"$570,057",570057,13.52,0.23,13.29,,,14.67,,,,,,,
8,USDC|40 Acres,Harvest Finance,Base,$1.97m,1970000,12.26,12.26,,,,8.34,,,,,,,
9,USDC|yoUSD,YO Protocol,Base,$16.1m,16100000.000000002,12.22,4.42,7.8,,,13.77,,,,,,,
10,USDC|yoUSD,YO Protocol,Arbitrum,"$550,795",550795,12.22,4.42,7.8,,,13.78,,,,,,,
11,USDC,Metrom,Katana,$15.9m,15900000,12.03,2.77,9.26,,,12.28,,,,,,,
12,MIM-USDC|Mim,Beefy,Arbitrum,$1.23m,1230000,11.98,11.98,,,,15.87,,,,,,,
13,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$870,178",870178,11.87,11.87,11.87,,,14.54,,,,,,,
14,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$4.2m,4200000,11.8,11.8,,,,13.4,,,,,,,
15,USDC|vault,Avantis,Base,$45.78m,45780000,11.53,11.53,,,,10.1,,,,,,,
