rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
1,USDC.E-USDT.E,Yuzu Finance,Move,"$814,538",814538,25.17,0.29,24.88,25.61
2,FEUSDT02,Morpho V1,Hyperliquid L1,$1.82m,1820000,23.07,23.07,5.6,63.9
3,FEUSDH,Morpho V1,Hyperliquid L1,$3.92m,3920000,22.8,22.8,5.74,52.6
4,USDC / yoUSD,YO Protocol,Base,$22.89m,22890000,17.42,5.42,14.11,62.9
5,USDC / yoUSD,YO Protocol,Arbitrum,"$545,350",545350,17.42,5.42,14.13,88.6
6,IUSD,Indigo,Cardano,$4.54m,4540000,16.75,16.75,16.75,17.92
7,FEUSDT0,Morpho V1,Hyperliquid L1,$12.27m,12270000,15.44,15.44,5.34,77.3
8,USDC,Fluid Lending,Arbitrum,$28.62m,28620000,15.36,14.29,6.43,52.4
9,BBQUSD1,Morpho V1,Monad,$3.54m,3540000,15.26,8.79,177,91.3
10,USDC,Gearbox,Monad,"$940,925",940925,14.71,5.13,7.81,88.1
11,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$2.86m,2860000,13.86,14.19,14.19,78.2
12,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.12m,3120000,13.61,13.61,14.26,97.5
13,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.16m,1160000,13.51,12.94,8.25,6.69
14,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.22m,1220000,13.16,13.16,11.72,100
15,RE7USDC,Morpho V1,Base,$2.03m,2029999.9999999998,13.08,13.08,5.29,99.7
16,USDC,Fluid Lending,Base,$8.85m,8850000,12.78,10.41,6.99,27.2
17,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.17m,1170000,12.68,12.68,11.93,99.7
18,USDC / arbUSD,AUTOfinance,Arbitrum,$1.9m,1900000,12.31,10.4,8.32,100
19,FEUSDC,Morpho V1,Hyperliquid L1,$26.36m,26360000,12.29,12.29,5.48,80.2
20,USDC / vault,Avantis,Base,$56.09m,56090000,12.09,12.09,9.72,34.8
21,MSUSD-USDC,Aerodrome V1,Base,$6.71m,6710000,11.99,11.99,11.31,99.7
22,AUSD / earnAUSD/AUSD,Curvance,Monad,"$920,975",920975,11.88,11.88,6.9,62.6
23,USDG,Kamino Lend,Solana,"$989,276",989276,11.85,11.85,11.85,4.88
24,GTUSDCC,Morpho V1,Hyperliquid L1,$2.33m,2330000,11.79,11.79,5.87,92.1
25,AUGUSTUSDC,Morpho V1,Monad,$5.93m,5930000,11.64,9.08,7.67,100
26,DJED,Liqwid,Cardano,$1.74m,1740000,11.53,11.53,11.53,11.9
27,PYUSD,Kamino Lend,Solana,$6.89m,6890000,11.43,11.43,11.43,2.64
28,MSUSD-USDC / Aerodrome,Beefy,Base,"$670,730",670730,11.42,10.84,10.84,55.8
29,USDC,Sprinter,Base,$2.96m,2960000,11.35,10.25,,10.25
30,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3
31,AUGUSTUSDCV2,Morpho V1,Monad,$5.93m,5930000,11.29,8.74,7.45,99.8
32,EARNAUSD,Upshift,Monad,$40.09m,40090000,11.01,6.14,4.87,8.84
33,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.1m,1100000,10.35,10.32,10.32,81.9
34,AAVEUSDC-AAVEGHO,Aura,Base,$6.14m,6140000,10.34,4.53,5.88,100
35,SUPERUSDC / SuperVault,Superform,Base,$1.53m,1530000,10.31,4.72,6.17,64.3
36,SUSDU,Unitas,Solana,$46.37m,46370000,10.18,10.18,10.18,11.87
37,USDC / Autopilot,Harvest Finance,Base,"$736,035",736035,9.96,9.96,5.06,62.7
38,USDT0,Neverland,Monad,$2.59m,2590000,9.9,4.38,9.21,87.4
39,AAVEGHO-USDT-USDC,Aura,Arbitrum,$6.31m,6310000,9.8,3.94,7.21,100
40,AUSD,Neverland,Monad,$8.83m,8830000,9.71,4.22,10.17,80.6
41,BBQUSDT0,Morpho V1,Arbitrum,$28.63m,28630000,9.7,9.7,3.49,100
42,ALUSD-USDC,Curve DEX,Arbitrum,"$733,297",733297,9.53,0.72,9.85,100
43,USDC,Abyss,Sui,$1.86m,1860000,9.48,9.48,9.48,8.79
44,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.44m,6440000,9.38,9.38,7.17,64
45,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$698,280",698280,9.24,0.24,9.41,95.9
46,DAI-USDT / 0.00%,Uniswap V4,Polygon,"$535,004",535004,9.2,9.2,9.2,12.46
47,USDT,ZEROBASE CeDeFi,Arbitrum,$7.94m,7940000,9,7,9,99.7
48,USDC,ZEROBASE CeDeFi,Arbitrum,"$790,767",790767,9,7,9,97.4
49,AUSD,Yearn Finance,Katana,$2.01m,2009999.9999999998,8.88,8.88,8.88,2.73
50,ZVUSDC,Zircuit Finance,Base,$1.51m,1510000,8.63,8.63,8.7,26.1
51,USDC / Clearstar Earn USDC,Euler V2,Monad,"$593,053",593053,8.6,8.6,3.42,100
52,GHO,Fluid Lending,Arbitrum,$2.86m,2860000,8.58,4.94,6.36,71.6
53,USDC / baseUSD,AUTOfinance,Base,$5.91m,5910000,8.46,4.96,6.9,99.9
54,SUSDAI / For LP | Maturity 18JUN2026,Pendle,Arbitrum,$6.44m,6440000,8.44,7.77,6.92,79.4
55,BBQUSDT0,Morpho V1,Monad,$5.08m,5080000,8.41,4.51,6.13,100
56,HYPERVBUSDCA,Morpho V1,Katana,$1.51m,1510000,8.36,8.36,8.36,3.13
57,WABASGHO-WABASUSDC / Aura,Beefy,Base,$1.61m,1610000,8.33,5.59,5.59,72.1
58,USDC,Neverland,Monad,$15.84m,15840000,8.3,3.91,8.38,81.9
59,USDC,MortgageFi,Base,"$721,011",721011,8.2,9.13,9.13,98.2
60,USDC,Loopscale,Solana,$2.28m,2280000,7.95,7.36,0.59,8.39
61,EDGEUSDC,Morpho V1,Base,"$841,197",841197,7.86,5.29,5.08,89.2
62,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$12.33m,12330000,7.85,7.85,7.69,46.8
63,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,Arbitrum,$3.65m,3650000,7.84,6.83,6.83,65.2
64,USDC,Kamino Lend,Solana,$7.41m,7410000,7.8,7.8,7.8,2.45
65,BBQUSDC,Morpho V1,Base,$18.21m,18210000,7.8,7.8,5.07,63.6
66,USDC / Harvest USDC vault Base,Fusion by IPOR,Base,"$735,998",735998,7.76,7.76,4.5,62.7
67,GTUSDCF,Morpho V1,Base,"$899,699",899699,7.66,7.66,4.93,85.6
68,USDC / Euler Earn USDC,Euler V2,Monad,$1m,1000000,7.66,7.66,2.12,95.1
69,SUSDAI / For LP | Maturity 15OCT2026,Pendle,Arbitrum,$12.33m,12330000,7.66,6.81,7.45,61.4
70,HYPERUSDCA,Morpho V1,Monad,$20m,20000000,7.44,5.43,6.87,100
71,USDT,Symbiosis,Tron,$1.4m,1400000,7.43,7.43,7.43,6.93
72,APXUSD / For LP | Maturity 18JUN2026,Pendle,Base,$3.12m,3120000,7.39,5.7,9.03,99.7
73,SYZUSD,Yuzu Money,Monad,$23.06m,23060000,7.33,7.33,7.27,100
74,MIM-USDC / Mim,Beefy,Arbitrum,$2.43m,2430000,7.27,7.18,7.18,89
75,SUSDAI / 30d unlock,USD AI,Arbitrum,$259.19m,259190000,7.15,7.15,6.3,85.5
76,USDAI / For buying PT-USDai-15OCT2026,Pendle,Arbitrum,"$772,861",772861,7.08,7.08,6.15,90.9
77,USDC / MainMarket,Current,Sui,$2.04m,2040000,7.02,1.26,5.76,6.07
78,USDSUI,NAVI Lending,Sui,$1.64m,1640000,6.99,0.07,6.92,8.87
79,USDC-SUSD / stable - 0.05%,Velodrome V2,Op Mainnet,"$993,948",993948,6.99,6.99,6.39,99.8
80,USDC / 40 Acres,Harvest Finance,Base,$2.02m,2020000,6.93,6.93,6.23,59.6
81,USDC,Liqwid,Cardano,"$521,249",521249,6.66,6.66,6.66,4.02
82,USDC / Morpho,Beefy,Base,"$962,650",962650,6.61,4.53,4.53,91.1
83,USDC / Dolomite Balance,Dolomite,Arbitrum,"$708,930",708930,6.57,6.57,6.57,4.26
84,XUSD,Sovryn Dex,Rootstock,"$728,066",728066,6.48,6.48,6.48,6.54
85,DTUSDC,Lagoon,Base,"$675,986",675986,6.46,6.46,5.62,87.9
86,BBQUSDC,Morpho V1,Arbitrum,$15.33m,15330000,6.25,6.25,2.94,28.6
87,USDC,Extra Finance Leverage Farming,Base,$3.71m,3710000,6.23,6.23,5.1,99.9
88,USDC,DeltaPrime,Arbitrum,"$721,002",721002,6.19,6.19,6.4,67.2
89,GTUSDCP,Morpho V1,Base,$43.29m,43290000,6.02,6.02,4.04,86.5
90,STEAKUSDC,Morpho V1,Base,$98.03m,98030000,6.02,6.02,4.04,94.5
91,STEAKUSDCFARCASTER,Morpho V1,Base,"$572,783",572783,6.02,6.02,4.04,38.1
92,USDC / TermMax USDC Vault,TermMax,Base,$1.24m,1240000,6.02,6.02,4.01,100
93,MWUSDC,Morpho V1,Base,$13.11m,13110000,6,6,4.05,40.2
94,SPARKUSDC,Morpho V1,Base,$41.14m,41140000,6,6,4.09,89.5
95,PUSDC,Morpho V1,Base,$4.26m,4260000,6,6,4.06,97
96,GTUSDCC,Morpho V1,Base,$1.65m,1650000,6,6,4.08,94.6
97,USDC,Gains Network,Arbitrum,$8.63m,8630000,5.68,5.68,6.42,60.9
98,AUSD / syzUSD/AUSD,Curvance,Monad,"$831,850",831850,5.64,5.64,6.07,92
99,DLLR,Sovryn Dex,Rootstock,"$542,083",542083,5.53,5.53,5.53,5.31
100,GTUSDCC,Morpho V1,Unichain,$1.2m,1200000,5.51,5.51,6.25,92.2
