rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,MSUSD-USDC,aerodrome slipstream,Base,$23.19m,23194427,19.08018,17.35365,1.72652,5.14522,,3.35591,,,23194427,,,,
2,USDC,sprinter,Base,$2.96m,2963259,16.65825,16.65825,,,,13.75586,,,2963259,,,,
3,USDC,metrom,Base,$1.25m,1245926,16.49396,16.49396,,,,16.77064,,,1245926,,,,
4,EURC-USDC,aerodrome slipstream,Base,$2.62m,2616333,15.11711,12.85666,2.26044,18.13442,,25.58388,,,2616333,,,,
5,DAI-USDT,uniswap v3,Polygon,$687.7k,687706,14.24825,14.24825,,,,7.50079,,,687706,,,,
6,DAI-USDT,uniswap v4,Polygon,$758.3k,758310,13.80187,13.80187,,,,9.80035,,,758310,,,,
7,USDC-USDT,aerodrome slipstream,Base,$1.02m,1023914,13.57849,12.33863,1.23987,11.23212,,14.62029,,,1023914,,,,
8,MSUSD-FRXUSD,aerodrome v1,Base,$716.6k,716618,12.88794,12.88794,12.88794,,,14.8891,,,716618,,,,
9,USDC-USDBC,aerodrome slipstream,Base,$531.6k,531564,12.81159,12.15128,0.66031,3.09573,,2.41455,,,531564,,,,
10,USDC-DAI,uniswap v4,Polygon,$563.8k,563818,12.62564,12.62564,,,,7.7695,,,563818,,,,
11,USDC,avantis,Base,$45.02m,45017624,11.71313,11.71313,,,,10.12536,,,45017624,,,,
12,MIM-USDC,beefy,Arbitrum,$1.23m,1226686,11.27108,11.27108,,,,16.3576,,,1226686,,,,
13,GTUSDCC,morpho blue,Arbitrum,$3.16m,3159410,10.89286,10.89286,0,,,3.87108,,,3159410,,,,
14,HYPERUSDCA,morpho blue,Arbitrum,$670.3k,670323,10.47428,10.47428,0,,,4.58213,,,670323,,,,
15,USDC-USDC,uniswap v4,Polygon,$908.9k,908897,10.20894,10.20894,,,,6.30733,,,908897,,,,
16,MIM-USDT0,beefy,Arbitrum,$1.10m,1100866,10.20541,10.20541,,,,11.11967,,,1100866,,,,
17,APXUSD,pendle,Base,$3.67m,3671559,9.84052,9.84052,,,,14.50699,,,3671559,,,,
18,SUSDAI,pendle,Arbitrum,$8.98m,8984525,9.68436,9.68436,,,,9.27155,,,8984525,,,,
