rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDG-USDE,Kamino Liquidity,Solana,$5.75m,5750000,22.4,22.4,,,,21.81,,,,,,,
2,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$4.18m,4179999.9999999995,22.37,17.56,4.82,,,18.24,,,,,,,
3,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,12.66,,,,,,,
4,USDC,Metrom,Base,$54.92m,54920000,16.4,16.4,,,,16.83,,,,,,,
5,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.74m,3740000,15.67,15.67,,,,14.68,,,,,,,
6,AUSD-USDC-USDT0,Curve DEX,Monad,$4.41m,4410000,14.47,0,14.47,,,12.7,,,,,,,
7,ZVUSDC,Zircuit Finance,Base,$1.5m,1500000,14.36,14.36,,,,8.49,,,,,,,
8,USDC-USDM,Mento V3,Monad,"$589,846",589846,13.04,0.2,12.84,,,14.71,,,,,,,
9,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,"$869,276",869276,12.33,12.33,,,,14.61,,,,,,,
10,USDC / 40 Acres,Harvest Finance,Base,$1.97m,1970000,12.26,12.26,,,,8.22,,,,,,,
11,USDC,Harmonix Finance,Hyperliquid L1,$8.6m,8600000,12.24,12.24,,,,11.67,,,,,,,
12,MIM-USDC / Mim,Beefy,Arbitrum,$1.24m,1240000,12.19,12.19,,,,15.77,,,,,,,
13,USDC,Metrom,Katana,$15.9m,15900000,12.03,2.77,9.26,,,12.28,,,,,,,
14,MSUSD-FRXUSD,Aerodrome V1,Base,"$771,020",771020,11.98,11.98,,,,15.79,,,,,,,
15,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$4.16m,4160000,11.95,11.95,,,,13.43,,,,,,,
16,USDC / yoUSD,YO Protocol,Base,$16.11m,16110000,11.76,3.96,7.8,,,13.88,,,,,,,
17,USDC / yoUSD,YO Protocol,Arbitrum,"$560,607",560607,11.76,3.96,7.8,,,13.89,,,,,,,
18,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.09m,1090000,11.47,9.6,1.87,14.01,,14.46,,,,,,,
19,USDC / vault,Avantis,Base,$45.77m,45770000,11.32,11.32,,,,10.1,,,,,,,
20,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.12m,1120000,10.64,10.64,,,,11.14,,,,,,,
21,SUPERUSDC / SuperVault,Superform,Base,$3.89m,3890000,10.34,4.67,5.67,,,12.56,,,,,,,
22,SUSDU,Unitas,Solana,$27.24m,27240000,10.29,10.29,,,,10.82,,,,,,,
23,USDT,Metrom,Katana,$4.14m,4139999.9999999995,9.99,2.73,7.26,,,10.18,,,,,,,
24,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$747,480",747480,9.99,0.06,9.93,,,9.9,,,,,,,
25,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.29m,11290000,9.92,9.92,,,,9.02,,,,,,,
26,ALUSD-USDC,Curve DEX,Arbitrum,"$752,971",752971,9.9,0.11,9.79,,,10,,,,,,,
27,APXUSD / For LP | Maturity 18JUN2026,Pendle,Base,$3.74m,3740000,9.5,8.94,0.57,,,8.63,,,,,,,
28,AUSD / EVK Vault eAUSD-16,Euler V2,Monad,"$846,054",846054,9.46,8.69,0.77,,,8.89,,,9440000,8600000,846815,,
29,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$9.73m,9730000,9.4,9.4,,,,8.98,,,,,,,
30,FEUSD / WHYPE Stability Pool,Felix CDP,Hyperliquid L1,$8.21m,8210000.000000001,9.15,9.15,,,,9.34,,,,,,,
31,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,,,9,,,,,,,
32,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,022",783022,9,7,2,,,9,,,,,,,
33,FEUSDC2,Morpho Blue,Hyperliquid L1,$26.44m,26440000,8.8,8.8,,,,7.18,,,26524230.739900935,,28464550.5,48.24,"{""kHYPE"":10.84,""WHYPE"":88.16,""wstHYPE"":1}"
34,AUSD,Neverland,Monad,$10.86m,10860000,8.63,3.92,4.72,,,9.29,,,48000000,37130000,10880000,,
35,USDC,Neverland,Monad,$15.85m,15850000,8.56,3.72,4.84,,,8.43,,,62340000,46520000,15820000,,
36,USDC / baseUSD,AUTOfinance,Base,$6.97m,6970000,8.48,5.11,3.37,,,8.8,,,,,,,
