rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDCAD-USDC,GMTrade,Solana,$1.37m,1370000,48.76,48.76,,,,23.51,,,,,,,
2,USDG-USDE,Kamino Liquidity,Solana,$5.62m,5620000,18.83,18.83,,,,26.64,,,,,,,
3,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,12.31,,,,,,,
4,USDC,Metrom,Base,$1.24m,1240000,16.36,16.36,,,,16.91,,,,,,,
5,USDC-USDT / CL1 - 0.0012%,Aerodrome Slipstream,Base,$1.14m,1140000,16.16,15.08,1.07,13.34,,14.03,,,,,,,
6,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.71m,3710000,15.64,15.64,,,,14.55,,,,,,,
7,SYRUPUSDC-USDC / CL1 - 0.035%,Aerodrome Slipstream,Base,"$518,901",518901,15.03,15.03,,,,9.01,,,,,,,
8,AUSD-USDC-USDT0,Curve DEX,Monad,$4.45m,4450000,14.74,0,14.74,,,11.76,,,,,,,
9,FEUSDC2,Morpho Blue,Hyperliquid L1,$23.4m,23400000,14.07,14.07,,,,7.11,,,23886438.434719697,,26098014.1,47.79,"{""kHYPE"":15.14,""WHYPE"":83.71,""wstHYPE"":1.15}"
10,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,"$866,873",866873,13.8,13.8,,,,14.69,,,,,,,
11,MSUSD-FRXUSD,Aerodrome V1,Base,"$768,424",768424,13.22,13.22,,,,15.66,,,,,,,
12,USDC-USDM,Mento V3,Monad,"$590,124",590124,13.17,0.33,12.84,,,14.85,,,,,,,
13,MIM-USDC / Mim,Beefy,Arbitrum,$1.23m,1230000,13.01,13.01,,,,15.48,,,,,,,
14,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$4.06m,4059999.9999999995,12.45,7.38,5.07,,,18.73,,,,,,,
15,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$4.15m,4150000.0000000005,12.35,12.35,,,,13.55,,,,,,,
16,USDC,Harmonix Finance,Hyperliquid L1,$8.37m,8369999.999999999,12.3,12.3,,,,10.74,,,,,,,
17,USDC / yoUSD,YO Protocol,Base,$16.11m,16110000,12.27,4.47,7.8,,,14.19,,,,,,,
18,USDC / yoUSD,YO Protocol,Arbitrum,"$562,215",562215,12.27,4.47,7.8,,,14.19,,,,,,,
19,USDC / 40 Acres,Harvest Finance,Base,$1.97m,1970000,12.27,12.27,,,,7.84,,,,,,,
20,USDC,Metrom,Katana,$15.9m,15900000,12.01,2.77,9.24,,,12.28,,,,,,,
21,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.11m,1110000,11.27,11.27,,,,11.1,,,,,,,
22,USDC,Accountable,Monad,$1.82m,1820000,11.12,8.5,2.62,,,11.5,,,,,,,
23,SUPERUSDC / SuperVault,Superform,Base,$3.74m,3740000,11.1,4.71,6.39,,,12.5,,,,,,,
24,USDC / vault,Avantis,Base,$45.77m,45770000,10.87,10.87,,,,10.1,,,,,,,
25,FEUSDE,Morpho Blue,Hyperliquid L1,"$843,542",843542,10.84,10.84,,,,9.18,,,845488.1992202388,,16160541.72,4.97,"{""UBTC"":40.24,""WHYPE"":59.76}"
26,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$750,468",750468,10.78,0.12,10.66,,,9.77,,,,,,,
27,ALUSD-USDC,Curve DEX,Arbitrum,"$762,455",762455,10.66,0.04,10.62,,,9.91,,,,,,,
28,SUSDU,Unitas,Solana,$27.31m,27310000,10.26,10.26,,,,11.12,,,,,,,
29,USDT,Metrom,Katana,$4.14m,4139999.9999999995,9.92,2.73,7.19,,,10.18,,,,,,,
30,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.75m,6750000,9.82,9.82,,,,8.87,,,,,,,
31,AUSD / EVK Vault eAUSD-16,Euler V2,Monad,"$845,173",845173,9.53,8.73,0.8,,,8.72,,,9440000,8590000,845103,,
32,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.33m,11330000,9.44,9.44,,,,8.91,,,,,,,
33,APXUSD / For LP | Maturity 18JUN2026,Pendle,Base,$3.71m,3710000,9.42,8.86,0.55,,,8.61,,,,,,,
34,FEUSD / WHYPE Stability Pool,Felix CDP,Hyperliquid L1,$8.16m,8160000,9.27,9.27,,,,9.42,,,,,,,
35,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,,,9,,,,,,,
36,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,253",783253,9,7,2,,,9,,,,,,,
37,USDC,YieldSeeker,Base,$1.24m,1240000,8.97,8.97,,,,9.05,,,,,,,
38,USDC / baseUSD,AUTOfinance,Base,$6.55m,6550000,8.85,5.37,3.49,,,8.76,,,,,,,
39,ZVUSDC,Zircuit Finance,Base,$1.5m,1500000,8.75,8.75,,,,8.6,,,,,,,
40,AUSD,Metrom,Katana,$1.73m,1730000,8.7,4.26,4.45,,,13.37,,,,,,,
41,BBQUSDC,Morpho Blue,Arbitrum,$2.59m,2590000,8.63,8.63,,,,4.3,,,2541061.7403768883,,507281696.54,0,"{""WBTC"":1.49,""weETH"":88.01,""XAUt0"":0,""WETH"":3.5,""syrupUSDC"":2.98,""siUSD"":0,""PT-USDai-18JUN2026"":1.89,""wstETH"":2.13}"
42,SUSDAI / For LP | Maturity 18JUN2026,Pendle,Arbitrum,$6.75m,6750000,8.6,7.81,0.79,,,8.13,,,,,,,
43,GTUSDCP,Morpho Blue,Arbitrum,$2.28m,2280000,8.58,8.58,,,,3.84,,,2282890.200050122,,62694520.17,0,"{""WBTC"":99.68,""WETH"":0.32,""sUSDS"":0}"
44,FEUSDH2,Morpho Blue,Hyperliquid L1,$6.36m,6360000,8.55,8.55,,,,7.42,,,6319983.684320883,,33662263.35,15.81,"{""WHYPE"":78.32,""wstHYPE"":6.15,""kHYPE"":15.54}"
45,AUSD,Neverland,Monad,$11.74m,11740000,8.53,3.75,4.78,,,9.35,,,46900000,35180000,11720000,,
46,USDC,Neverland,Monad,$16.32m,16320000,8.47,3.67,4.8,,,8.39,,,62250000,45920000,16320000,,
47,USDC,Loopscale,Solana,"$872,356",872356,8.38,7.27,1.11,,,8.25,,,,,,,
48,AUSD / vUSD/AUSD,Curvance,Monad,"$731,748",731748,8.37,5.67,2.7,,,7.23,,,7300000,6560000,731689,,
49,SUSDAI / For LP | Maturity 15OCT2026,Pendle,Arbitrum,$11.33m,11330000,8.35,7.66,0.69,,,8.05,,,,,,,
50,USDC,DeltaPrime,Arbitrum,"$651,151",651151,8.28,8.28,,,,7.09,,,,,,,
51,BBQAUSD,Morpho Blue,Monad,"$901,101",901101,8.09,5.4,2.68,,,7.93,,,901408.5309947496,,229077081.68,0,"{""WBTC"":26.23,""wstETH"":34.02,""WETH"":12.1,""wsrUSD"":26.33,""WMON"":0.76,""XAUt0"":0.55,""SOL"":0}"
52,USDC,Kamino Lend,Solana,$6.39m,6390000,8.01,8.01,,,,4.93,,,150230000,143780000,6450000,,
53,USDT0,Neverland,Monad,$4.66m,4660000,7.93,3.62,4.3,,,8.74,,,17380000,12720000,4660000,,
54,HYPERUSDCA,Morpho Blue,Monad,$15.41m,15410000,7.82,5.32,2.51,,,7.5,,,706000.250334857,,199234548.06,0,"{""WETH"":1.86,""WBTC"":7.65,""sUSDai"":0.43,""PT-USDai-18JUN2026"":26.78,""PT-sUSDai-18JUN2026"":13.06,""wstETH"":48.8,""thBILL"":0,""Unknown"":1.42}"
55,AUSD / earnAUSD/AUSD,Curvance,Monad,$2.29m,2290000,7.77,5.27,2.5,,,8.35,,,9780000,7480000,2290000,,
56,AUSD,Accountable,Monad,$2.49m,2490000,7.76,7.76,,,,8.43,,,,,,,
