rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDC,Yearn Finance,Base,"$774,911",774911,155,155,39.18,,,155,,39.18,,,,,
2,RE7USDC,Morpho Blue,Base,"$797,340",797340,145,145,28.17,,,145,,28.17,797575.0292365545,,24659539.56,0.08,"{""AERO"":8.21,""USR"":55.76,""cbBTC"":33.46,""mBASIS"":1.74,""wbCOIN"":0.82}"
3,MIM-USDC|Mim,Beefy,Arbitrum,$1.2m,1200000,20.05,10.98,,,,,,10.98,,,,,
4,MSUSD-FRXUSD,Aerodrome V1,Base,$1.03m,1030000,17.41,17.41,16.51,,,17.41,,16.51,,,,,
5,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.13m,1130000,17.16,16.37,0.79,11.59,9.45,11.59,,9.45,,,,,
6,USDC|yoUSD,YO Protocol,Base,$18.69m,18690000,15.96,3.96,12,13.68,,12,,13.68,,,,,
7,USDC|yoUSD,YO Protocol,Arbitrum,"$586,522",586522,15.96,3.96,12,13.68,,12,,13.68,,,,,
8,AUSD-USDC-USDT0,Curve DEX,Monad,$2.95m,2950000,15.65,0,15.65,4.41,,15.65,,4.41,,,,,
9,SUPERUSDC|SuperVault,Superform,Base,$1.9m,1900000,15.41,4.51,10.9,9.46,,10.9,,9.46,,,,,
10,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.36m,3360000,14.52,14.52,14.26,,,14.52,,14.26,,,,,
11,USDC-USDM,Mento V3,Monad,"$525,146",525146,14.49,0.04,14.44,15.3,,14.44,,15.3,,,,,
12,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,$1.06m,1060000,13.14,13.14,13.54,,,13.14,,13.54,,,,,
13,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$3m,3000000,12.82,14.36,,,,,,14.36,,,,,
14,USDC|Compound,Beefy,Base,$1.23m,1230000,12.49,3.32,,,,,,3.32,,,,,
15,USDC|arbUSD,AUTOfinance,Arbitrum,$3.64m,3640000,11.96,10.73,1.23,11.12,,1.23,,11.12,,,,,
16,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.32,,,,,,11.32,,,,,
17,MIM-USDT0|Mim,Beefy,Arbitrum,$1.09m,1090000,11.09,10.42,,,,,,10.42,,,,,
18,SUSDU,Unitas,Solana,$43.76m,43760000,10.5,10.5,11.27,,,10.5,,11.27,,,,,
19,USDC-MUSD|CL10 - 0.05%,Aerodrome Slipstream,Base,$1.13m,1130000,10.27,10.27,15.71,,,10.27,,15.71,,,,,
20,ALUSD-USDC,Curve DEX,Arbitrum,"$727,049",727049,10.23,0.02,10.21,9.39,,10.21,,9.39,,,,,
21,AUSD,Neverland,Monad,$7.21m,7210000,9.46,4.43,5.03,9.7,,5.03,,9.7,,,,,
22,SUSDAI|For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.77m,11770000,9.23,9.23,8.32,,,9.23,,8.32,,,,,
23,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.12m,1120000,9.16,9.16,11.46,,,9.16,,11.46,,,,,
24,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.33m,6330000,9.04,9.04,7.98,,,9.04,,7.98,,,,,
25,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,9,,2,,9,,,,,
26,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,314",783314,9,7,2,9,,2,,9,,,,,
27,AUSD,Yearn Finance,Katana,$1.61m,1610000,8.98,8.98,5.04,,,8.98,,5.04,,,,,
28,USDC|baseUSD,AUTOfinance,Base,$5.67m,5670000,8.95,5.11,3.84,7.9,,3.84,,7.9,,,,,
29,USDC|vault,Avantis,Base,$48.69m,48690000,8.88,8.88,10.04,,,8.88,,10.04,,,,,
30,MSUSD-USDC,Aerodrome V1,Base,$7.64m,7640000,8.79,8.79,10.93,,,8.79,,10.93,,,,,
31,HYPERVBUSDCA,Morpho Blue,Katana,$1.53m,1530000,8.63,8.17,0.46,4.97,,0.46,,4.97,,,,,
32,APXUSD|For LP | Maturity 18JUN2026,Pendle,Base,$3.36m,3360000,8.6,7.06,1.54,8.79,,1.54,,8.79,,,,,
33,AUSD|earnAUSD/AUSD,Curvance,Monad,$2.31m,2310000,8.47,6.2,2.27,7.64,,2.27,,7.64,,,,,
34,USDT0,Neverland,Monad,$4.64m,4640000,8.29,3.49,4.8,9.25,,4.8,,9.25,,,,,
