rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$3.03m,3030000,18.74,13.71,,,,,,13.71,,,,,
2,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$2.68m,2680000,17.99,9.86,8.13,22.34,,8.13,,22.34,,,,,
3,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,"$961,045",961045,17.16,15.57,1.6,15.33,11.22,15.33,,11.22,,,,,
4,MIM-USDC|Mim,Beefy,Arbitrum,$1.21m,1210000,16.45,12.94,,,,,,12.94,,,,,
5,AUSD-USDC-USDT0,Curve DEX,Monad,$3.85m,3850000,15.93,0,15.93,6.87,,15.93,,6.87,,,,,
6,MSUSD-FRXUSD,Aerodrome V1,Base,$1.16m,1160000,15.84,15.84,16.41,,,15.84,,16.41,,,,,
7,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$929,604",929604,14.94,14.94,14,,,14.94,,14,,,,,
8,USDC-USDM,Mento V3,Monad,"$555,580",555580,14.62,0.97,13.65,14.91,,13.65,,14.91,,,,,
9,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.56m,3560000,14.56,14.56,14.23,,,14.56,,14.23,,,,,
10,AUSD,Metrom,Katana,$1.64m,1640000,13.65,9.2,4.45,13.63,,4.45,,13.63,,,,,
11,USDC,Metrom,Katana,$14.74m,14740000,12.04,2.24,9.79,11.85,,9.79,,11.85,,,,,
12,ALUSD-USDC|Curve,Stake DAO,Arbitrum,"$654,879",654879,11.65,0.18,11.47,9.51,,11.47,,9.51,,,,,
13,ALUSD-USDC,Curve DEX,Arbitrum,"$668,723",668723,11.55,0.06,11.49,9.55,,11.49,,9.55,,,,,
14,USDC|yoUSD,YO Protocol,Base,$17.6m,17600000,11.52,3.72,7.8,14.56,,7.8,,14.56,,,,,
15,USDC|yoUSD,YO Protocol,Arbitrum,"$590,273",590273,11.52,3.72,7.8,14.54,,7.8,,14.54,,,,,
16,MIM-USDT0|Mim,Beefy,Arbitrum,$1.1m,1100000,11.42,10.6,,,,,,10.6,,,,,
17,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.35,,,,,,11.35,,,,,
18,AUGUSTUSDC,Morpho Blue,Monad,$2.83m,2830000,11.29,7.78,3.5,8.56,,3.5,,8.56,4010.2191865664017,,164455227.84,0,"{""earnAUSD"":100}"
19,USDT,Metrom,Katana,$4.47m,4470000,10.43,2.67,7.75,9.99,,7.75,,9.99,,,,,
20,SUSDU,Unitas,Solana,$42.69m,42690000,10.22,10.22,10.62,,,10.22,,10.62,,,,,
21,FEUSDC2,Morpho Blue,Hyperliquid L1,$20.49m,20490000,10.12,10.12,7.18,,,10.12,,7.18,20570665.777472306,,29414932.49,41.15,"{""kHYPE"":13.57,""WHYPE"":85.37,""wstHYPE"":1.05}"
