rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDC,Yearn Finance,Base,"$774,262",774262,155,155,27.61,,,155,,27.61,,,,,
2,RE7USDC,Morpho Blue,Base,"$795,102",795102,94.04,94.04,19.82,,,94.04,,19.82,795297.9313924994,,24661205.91,0.08,"{""AERO"":8.24,""USR"":55.34,""cbBTC"":33.88,""mBASIS"":1.75,""wbCOIN"":0.8}"
3,MIM-USDC|Mim,Beefy,Arbitrum,$1.19m,1190000,21.25,9.98,,,,,,9.98,,,,,
4,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,$1.09m,1090000,16.86,16.86,13.72,,,16.86,,13.72,,,,,
5,MSUSD-FRXUSD,Aerodrome V1,Base,"$997,342",997342,16.64,16.64,16.48,,,16.64,,16.48,,,,,
6,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$2.94m,2940000,16.37,14.16,,,,,,14.16,,,,,
7,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.11m,1110000,15.78,14.73,1.05,11.68,8.68,11.68,,8.68,,,,,
8,USDC|yoUSD,YO Protocol,Base,$18.58m,18580000,15.59,3.59,12,13.75,,12,,13.75,,,,,
9,USDC|yoUSD,YO Protocol,Arbitrum,"$567,192",567192,15.59,3.59,12,13.76,,12,,13.76,,,,,
10,AUSD-USDC-USDT0,Curve DEX,Monad,$3.63m,3630000,14.86,0,14.86,3.24,,14.86,,3.24,,,,,
11,SUPERUSDC|SuperVault,Superform,Base,$1.36m,1360000,14.8,5.8,9,8.65,,9,,8.65,,,,,
12,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.33m,3330000,14.78,14.78,14.22,,,14.78,,14.22,,,,,
13,USDC-USDM,Mento V3,Monad,"$521,753",521753,14.72,0.19,14.53,15.49,,14.53,,15.49,,,,,
14,USDC|Compound,Beefy,Base,$1.23m,1230000,12.49,3.29,,,,,,3.29,,,,,
15,USDC|arbUSD,AUTOfinance,Arbitrum,$3.63m,3630000,12.11,10.88,1.23,10.59,,1.23,,10.59,,,,,
16,GTUSDCC,Morpho Blue,Unichain,$1.15m,1150000,11.5,11.5,6.82,,,11.5,,6.82,1750584.9648526497,,6247880.88,0,"{""UBTC"":37.7,""WHYPE"":31.15,""kHYPE"":31.15}"
17,MIM-USDT0|Mim,Beefy,Arbitrum,$1.09m,1090000,11.4,10.36,,,,,,10.36,,,,,
18,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.1,,,,,,11.1,,,,,
19,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3,,5,,11.3,,,,,
20,ZVUSDC,Zircuit Finance,Base,$1.49m,1490000,10.4,10.4,8.55,,,10.4,,8.55,,,,,
21,SUSDU,Unitas,Solana,$45.29m,45290000,10.13,10.13,11.41,,,10.13,,11.41,,,,,
