rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,12.5,,,,,,,
2,USDC,Metrom,Base,$1.24m,1240000,16.38,16.38,,,,16.86,,,,,,,
3,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.73m,3730000,15.82,15.82,,,,14.62,,,,,,,
4,AUSD-USDC-USDT0,Curve DEX,Monad,$4.41m,4410000,14.45,0,14.45,,,12.29,,,,,,,
5,USDC-USDM,Mento V3,Monad,"$590,185",590185,13.04,0.2,12.84,,,14.77,,,,,,,
6,USDC,Harmonix Finance,Hyperliquid L1,$8.08m,8080000,12.95,12.95,,,,11.91,,,,,,,
7,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,"$868,470",868470,12.49,12.49,,,,14.65,,,,,,,
8,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$4.09m,4090000,12.28,7.35,4.93,,,18.26,,,,,,,
9,USDC / 40 Acres,Harvest Finance,Base,$1.97m,1970000,12.26,12.26,,,,8.06,,,,,,,
10,MIM-USDC / Mim,Beefy,Arbitrum,$1.23m,1230000,12.22,12.22,,,,15.66,,,,,,,
11,MSUSD-FRXUSD,Aerodrome V1,Base,"$770,415",770415,12.17,12.17,,,,15.77,,,,,,,
12,USDC,Metrom,Katana,$15.9m,15900000,12.03,2.77,9.26,,,12.28,,,,,,,
13,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$4.15m,4150000.0000000005,11.86,11.86,,,,13.48,,,,,,,
14,USDC / yoUSD,YO Protocol,Base,$16.06m,16059999.999999998,11.74,3.94,7.8,,,14.01,,,,,,,
15,USDC / yoUSD,YO Protocol,Arbitrum,"$562,178",562178,11.74,3.94,7.8,,,14.02,,,,,,,
16,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.12m,1120000,11.29,9.46,1.83,13.62,,14.35,,,,,,,
17,USDC / vault,Avantis,Base,$45.78m,45780000,11.1,11.1,,,,10.1,,,,,,,
18,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.1m,1100000,10.63,10.63,,,,11.13,,,,,,,
19,FEUSDT02,Morpho Blue,Hyperliquid L1,$1.87m,1870000,10.28,10.28,,,,7.7,,,1953216.1722869321,,55021135.08,3.43,"{""WHLP"":0.64,""WHYPE"":0.38,""UBTC"":6.91,""UETH"":9.18,""thBILL"":61.89,""kHYPE"":16.22,""hwHLP"":3.3,""hbUSDT"":1.46,""PT-hbUSDT-18DEC2025"":0.03}"
20,SUSDU,Unitas,Solana,$27.32m,27320000,10.26,10.26,,,,10.84,,,,,,,
21,USDC-USDBC / CL1 - 0.01%,Aerodrome Slipstream,Base,"$540,699",540699,10.1,9.58,0.53,1.66,,1.98,,,,,,,
22,SUPERUSDC / SuperVault,Superform,Base,$3.87m,3870000,10.1,4.61,5.49,,,12.54,,,,,,,
23,USDG-USDE,Kamino Liquidity,Solana,$5.66m,5660000,10.05,10.05,,,,22.17,,,,,,,
24,USDT,Metrom,Katana,$4.14m,4139999.9999999995,9.99,2.73,7.26,,,10.18,,,,,,,
25,ALUSD-USDC,Curve DEX,Arbitrum,"$750,988",750988,9.92,0,9.92,,,10.01,,,,,,,
26,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$745,909",745909,9.92,0.04,9.88,,,9.89,,,,,,,
27,APXUSD / For LP | Maturity 18JUN2026,Pendle,Base,$3.73m,3730000,9.72,9.17,0.55,,,8.62,,,,,,,
28,AUSD / EVK Vault eAUSD-16,Euler V2,Monad,"$846,950",846950,9.45,8.68,0.76,,,8.82,,,9440000,8600000,846819,,
29,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.3m,11300000,9.4,9.4,,,,8.96,,,,,,,
30,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$9.73m,9730000,9.35,9.35,,,,8.93,,,,,,,
31,FEUSD / WHYPE Stability Pool,Felix CDP,Hyperliquid L1,$8.22m,8220000.000000001,9.17,9.17,,,,9.37,,,,,,,
32,USDC,YieldSeeker,Base,$1.25m,1250000,9.03,9.03,,,,9.05,,,,,,,
33,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,,,9,,,,,,,
34,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,191",783191,9,7,2,,,9,,,,,,,
35,USDC / baseUSD,AUTOfinance,Base,$6.98m,6980000,8.66,5.07,3.59,,,8.79,,,,,,,
36,AUSD,Neverland,Monad,$10.71m,10710000,8.56,3.95,4.61,,,9.32,,,48320000,37550000,10770000,,
37,USDC,Neverland,Monad,$15.7m,15700000,8.5,3.73,4.77,,,8.42,,,62190000,46530000,15660000,,
38,AUSD,Metrom,Katana,$1.73m,1730000,8.35,3.9,4.45,,,13.31,,,,,,,
39,SUSDAI / For LP | Maturity 15OCT2026,Pendle,Arbitrum,$11.3m,11300000,8.35,7.6,0.74,,,8.08,,,,,,,
40,USDC,DeltaPrime,Arbitrum,"$651,311",651311,8.28,8.28,,,,7.2,,,,,,,
41,BBQUSDC,Morpho Blue,Arbitrum,$2.43m,2430000,8.18,8.18,,,,4.41,,,2424303.768199665,,507497436.78,0,"{""weETH"":98.76,""syrupUSDC"":1.24}"
42,SUSDAI / For LP | Maturity 18JUN2026,Pendle,Arbitrum,$9.73m,9730000,8.16,7.63,0.53,,,8.17,,,,,,,
43,USDC,Loopscale,Solana,$2m,2000000,8.15,7.09,1.05,,,8.26,,,,,,,
44,AUSD / vUSD/AUSD,Curvance,Monad,"$951,466",951466,8.04,5.34,2.7,,,7.33,,,7300000,6570000,731700,,
45,AUSD,Accountable,Monad,$2.49m,2490000,7.76,7.76,,,,8.43,,,,,,,
46,AUGUSTUSDCV2,Morpho Blue,Monad,$11.29m,11290000,7.72,5.16,2.55,,,9.15,,,,,,,
47,AUSD / earnAUSD/AUSD,Curvance,Monad,$2.34m,2340000,7.7,5.2,2.5,,,8.37,,,9980000,7420000,2550000,,
48,HYPERUSDCA,Morpho Blue,Monad,$15.36m,15360000,7.66,5.26,2.41,,,7.55,,,722797.6268807448,,199273105.9,0,"{""PT-sUSDai-18JUN2026"":12.76,""WETH"":1.82,""PT-USDai-18JUN2026"":26.17,""WBTC"":7.48,""sUSDai"":0.42,""wstETH"":47.68,""thBILL"":0,""Unknown"":3.68}"
49,BBQAUSD,Morpho Blue,Monad,"$901,701",901701,7.66,4.98,2.69,,,7.82,,,901386.9908245674,,229043776.89,0,"{""WBTC"":21.51,""wstETH"":40.28,""WETH"":12.79,""wsrUSD"":24.05,""WMON"":0.8,""XAUt0"":0.56,""SOL"":0}"
50,FEUSD / kHYPE Stability Pool,Felix CDP,Hyperliquid L1,$1.36m,1360000,7.61,7.61,,,,6.97,,,,,,,
51,USDC / Clearstar Earn USDC,Euler V2,Monad,"$904,713",904713,7.4,4.4,3,,,8.15,,,,,,,
52,FEUSDE,Morpho Blue,Hyperliquid L1,"$906,921",906921,7.33,7.33,,,,9.15,,,907157.9466755807,,16096668.15,5.34,"{""UBTC"":37.54,""WHYPE"":62.46}"
53,USDT0,Neverland,Monad,$6.49m,6490000,7.27,2.84,4.43,,,8.67,,,16719999.999999998,10250000,6460000,,
54,EDGEUSDC,Morpho Blue,Base,"$682,639",682639,7.27,3.93,3.34,,,7.03,,,101882.27848512674,,29893514.22,0.34,"{""sUSDS"":0.96,""WBTC"":90.67,""wstETH"":8.37}"
