rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,RE7USDC,Morpho Blue,Base,"$774,430",774430,200,200,34.59,,,200,,34.59,774660.9894488953,,24689178.72,0.08,"{""AERO"":8.46,""USR"":57.85,""cbBTC"":31.04,""mBASIS"":1.8,""wbCOIN"":0.85}"
2,USDC,Yearn Finance,Base,"$774,986",774986,155,155,45.18,,,155,,45.18,,,,,
3,MIM-USDC / Mim,Beefy,Arbitrum,$1.2m,1200000,19.91,11.48,,,,,,11.48,,,,,
4,SUPERUSDC / SuperVault,Superform,Base,$2.16m,2160000,18.87,4.39,14.48,10,,14.48,,10,,,,,
5,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,"$935,521",935521,18.64,16.88,1.76,15.18,10.12,15.18,,10.12,,,,,
6,MSUSD-FRXUSD,Aerodrome V1,Base,$1.07m,1070000,16.58,16.58,16.53,,,16.58,,16.53,,,,,
7,FEUSDC,Morpho Blue,Hyperliquid L1,$19.55m,19550000,15.51,15.51,5.89,,,15.51,,5.89,20378845.52448233,,73602607.54,21.68,"{""kHYPE"":97.01,""UBTC"":1.04,""WHYPE"":1.91,""PT-kHYPE-19MAR2026"":0.04}"
8,AUSD-USDC-USDT0,Curve DEX,Monad,$3.17m,3170000,15.11,0,15.11,5.01,,15.11,,5.01,,,,,
9,USDC-USDM,Mento V3,Monad,"$535,353",535353,14.51,0.34,14.17,15.2,,14.17,,15.2,,,,,
10,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.52m,3520000,14.34,14.34,14.27,,,14.34,,14.27,,,,,
11,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.05m,1050000,13.58,13.58,12.72,,,13.58,,12.72,,,,,
12,USDC / yoUSD,YO Protocol,Base,$18.63m,18630000,11.7,3.9,7.8,13.9,,7.8,,13.9,,,,,
13,USDC / yoUSD,YO Protocol,Arbitrum,"$596,363",596363,11.7,3.9,7.8,13.89,,7.8,,13.89,,,,,
14,USDC / arbUSD,AUTOfinance,Arbitrum,$3.64m,3640000,11.46,10.26,1.21,11.37,,1.21,,11.37,,,,,
15,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.35,,,,,,11.35,,,,,
16,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.09m,1090000,11.02,10.45,,,,,,10.45,,,,,
17,ALUSD-USDC,Curve DEX,Arbitrum,"$695,447",695447,10.83,0.44,10.39,9.42,,10.39,,9.42,,,,,
18,USDC,HyperLend Pooled,Hyperliquid L1,$5.64m,5640000,10.8,10.8,4.55,,,10.8,,4.55,64830000,54890000,9940000,,
19,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$658,282",658282,10.68,0.09,10.59,9.55,,10.59,,9.55,,,,,
20,SUSDU,Unitas,Solana,$43.77m,43770000,10.49,10.49,11.16,,,10.49,,11.16,,,,,
21,AUGUSTUSDC,Morpho Blue,Monad,$5.16m,5160000,9.48,6.61,2.86,8.28,,2.86,,8.28,5159018.077328313,,159318894.25,3.14,"{""syzUSD"":44.73,""earnAUSD"":55.27}"
22,AUSD,Neverland,Monad,$7.5m,7500000,9.36,4.38,4.98,9.67,,4.98,,9.67,45800000,38400000,7400000,,
23,AUGUSTUSDCV2,Morpho Blue,Monad,$5.73m,5730000,9.17,6.31,2.86,8.01,,2.86,,8.01,,,,,
24,USDC / vault,Avantis,Base,$48.53m,48530000,9.03,9.03,10.08,,,9.03,,10.08,,,,,
25,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.67m,11670000,9.01,9.01,8.38,,,9.01,,8.38,,,,,
26,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.12m,1120000,9.01,9.01,11.37,,,9.01,,11.37,,,,,
27,AUSD,Yearn Finance,Katana,$1.62m,1620000,9.01,9.01,5.33,,,9.01,,5.33,,,,,
28,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,9,,2,,9,,,,,
29,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,436",783436,9,7,2,9,,2,,9,,,,,
30,USDC / baseUSD,AUTOfinance,Base,$5.66m,5660000,8.95,5.11,3.84,7.99,,3.84,,7.99,,,,,
31,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.36m,6360000,8.84,8.84,8.05,,,8.84,,8.05,,,,,
32,USDT0,Neverland,Monad,$4.06m,4059999.9999999995,8.68,3.61,5.07,9.22,,5.07,,9.22,15050000,10990000,4059999.9999999995,,
33,MSUSD-USDC,Aerodrome V1,Base,$7.65m,7650000,8.66,8.66,10.84,,,8.66,,10.84,,,,,
34,HYPERVBUSDCA,Morpho Blue,Katana,$1.53m,1530000,8.63,8.17,0.46,5.03,,0.46,,5.03,,,,,
35,FEUSDC2,Morpho Blue,Hyperliquid L1,$20.43m,20430000,8.59,8.59,6.83,,,8.59,,6.83,20243356.90074276,,29746777.71,40.49,"{""wstHYPE"":1.34,""kHYPE"":13.7,""WHYPE"":84.97}"
36,AUSD / earnAUSD/AUSD,Curvance,Monad,$2.33m,2330000,8.45,6.17,2.28,7.72,,2.28,,7.72,13510000,11180000,2330000,,
37,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$3.03m,3030000,8.19,14.41,,,,,,14.41,,,,,
