rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,SUSDU,Unitas,Solana,$9.24m,9240000,32.33,32.33,,,,11.86,,,,,,,
2,LIMUSD|For LP | Maturity 26NOV2026,Pendle,Hyperliquid L1,"$633,471",633471,19.94,12.83,7.11,,,16.59,,,,,,,
3,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,12.95,,,,,,,
4,USDC,Metrom,Base,$1.23m,1230000,16.49,16.49,,,,16.78,,,,,,,
5,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$4.08m,4080000,16.35,11.41,4.94,,,17.95,,,,,,,
6,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.83m,3830000,15.35,15.35,,,,14.79,,,,,,,
7,AUSD-USDC-USDT0,Curve DEX,Monad,$3.64m,3640000,13.99,0,13.99,,,13.51,,,,,,,
8,USDC-USDM,Mento V3,Monad,"$569,951",569951,13.52,0.21,13.31,,,14.63,,,,,,,
9,USDC|40 Acres,Harvest Finance,Base,$1.97m,1970000,12.25,12.25,,,,8.51,,,,,,,
10,USDC|yoUSD,YO Protocol,Base,$16.1m,16100000.000000002,12.15,4.35,7.8,,,13.63,,,,,,,
11,USDC|yoUSD,YO Protocol,Arbitrum,"$551,042",551042,12.15,4.35,7.8,,,13.63,,,,,,,
12,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$862,466",862466,12.12,12.12,12.12,,,14.46,,,,,,,
13,USDC,Metrom,Katana,$15.9m,15900000,12.03,2.77,9.26,,,12.28,,,,,,,
14,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.19m,1190000,11.93,9.9,2.03,11.37,,14.42,,,,,,,
15,USDC|vault,Avantis,Base,$45.35m,45350000,11.89,11.89,,,,10.1,,,,,,,
16,MSUSD-FRXUSD,Aerodrome V1,Base,"$789,233",789233,11.78,11.78,11.78,,,15.52,,,,,,,
17,MIM-USDC|Mim,Beefy,Arbitrum,$1.23m,1230000,11.63,11.63,,,,15.99,,,,,,,
18,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$4.26m,4260000,11.28,11.28,,,,13.35,,,,,,,
19,AUSD|EVK Vault eAUSD-16,Euler V2,Monad,"$886,760",886760,10.6,7.25,3.35,,,8.91,,,9490000,8600000,886760,,
20,MIM-USDT0|Mim,Beefy,Arbitrum,$1.12m,1120000,10.57,10.57,,,,11.13,,,,,,,
21,USDT,Metrom,Katana,$4.14m,4139999.9999999995,9.99,2.73,7.26,,,10.18,,,,,,,
22,ALUSD-USDC|Curve,Stake DAO,Arbitrum,"$748,687",748687,9.88,0.05,9.83,,,9.92,,,,,,,
23,ALUSD-USDC,Curve DEX,Arbitrum,"$754,141",754141,9.75,0.03,9.72,,,10.01,,,,,,,
24,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$9.73m,9730000,9.74,9.74,,,,9.11,,,,,,,
25,FEUSDC2,Morpho Blue,Hyperliquid L1,$26.42m,26420000,9.72,9.72,,,,7.39,,,26323833.577279016,,33662966.53,43.88,"{""kHYPE"":10.59,""WHYPE"":88.38,""wstHYPE"":1.03}"
26,SUSDAI|For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$13.09m,13090000,9.67,9.67,,,,9.13,,,,,,,
27,SUPERUSDC|SuperVault,Superform,Base,$3.82m,3820000,9.5,4.48,5.02,,,12.57,,,,,,,
28,USDC,Harmonix Finance,Hyperliquid L1,$9.85m,9850000,9.48,9.48,,,,10.88,,,,,,,
