rank,pool,project,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
1,USDC.E-USDT.E,Yuzu Finance,"$766,717",766717,26.57,0.23,26.34,25.46
2,IUSD,Indigo,$4.78m,4780000,16.75,16.75,16.75,18.05
3,USDC / yoUSD,YO Protocol,$25.94m,25940000,16.54,4.54,14.06,58.9
4,USDC / yoUSD,YO Protocol,"$584,234",584234,16.54,4.54,14.09,89.6
5,USDC / monUSD,AUTOfinance,"$788,695",788695,15.45,12.37,27.89,100
6,MSUSD-USDC,Extra Finance Leverage Farming,$1.2m,1200000,14.84,14.84,11.76,99.9
7,USDC-MSUSD / stable - 0.05%,Velodrome V2,$1.22m,1220000,14.74,14.74,10.74,100
8,USDC-MSUSD / stable - 0.05%,Velodrome V2,$1.29m,1290000,14.38,14.38,10.26,100
9,MSUSD-USDC,Aerodrome V1,$6.67m,6670000,13.9,13.9,11.17,99.9
10,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,$3.11m,3110000,13.78,13.78,14.38,98.7
11,MSUSD-USDC / Aerodrome,Beefy,"$602,480",602480,13.41,10.69,10.69,52.8
12,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,$2.76m,2760000,13.4,13.95,13.95,75.2
13,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,$1.18m,1180000,13.2,8.13,6.95,6.42
14,USDC,Accountable,"$887,941",887941,12.43,9.6,2.83,12.5
15,USDC / arbUSD,AUTOfinance,$2.05m,2049999.9999999998,11.93,10.11,7.84,100
16,DJED,Liqwid,$1.66m,1660000,11.87,11.87,11.87,11.99
17,USDC / vault,Avantis,$60.94m,60940000,11.43,11.43,9.61,32.4
18,USDC,Sprinter,$2.96m,2960000,11.35,10.04,,10.04
19,AUSD,Accountable,"$525,519",525519,11.3,6.3,5,11.3
20,AUSD,Accountable,$9.9m,9900000,11.28,7.76,3.52,11.28
21,EARNAUSD,Upshift,$40.05m,40050000,11.19,6.14,5.04,8.26
22,MIM-USDT0 / Mim,Beefy,$1.15m,1150000,10.81,10.35,10.35,81.6
23,SUSDU,Unitas,$47.34m,47340000,10.65,10.65,10.65,12.06
24,USDC.E,Kinetic,"$554,082",554082,10.49,3.02,7.47,11.02
25,USDC,Purrlend,"$556,604",556604,10.28,4.59,10.29,92.6
26,ALUSD-USDC / Curve,Stake DAO,"$697,006",697006,9.81,0.14,9.64,95.8
27,AUSD,Neverland,$8.15m,8150000,9.76,4.34,10.2,79.2
28,USDT0,Neverland,$3.38m,3380000,9.58,3.99,9.19,83.3
29,ALUSD-USDC,Curve DEX,"$733,318",733318,9.51,0.11,9.97,100
30,SUPERUSDC / SuperVault,Superform,$2.12m,2120000,9.47,4.42,5.74,55.1
31,BBQUSD1,Morpho V1,$3.75m,3750000,9.44,2.36,197,91.9
32,RE7USDC,Morpho V1,$2.03m,2029999.9999999998,9.35,9.35,4.69,99.7
33,DAI-USDT / 0.00%,Uniswap V4,"$535,004",535004,9.2,9.2,9.2,12.46
34,USDT,ZEROBASE CeDeFi,$7.94m,7940000,9,7,9,99.7
35,USDC,ZEROBASE CeDeFi,"$801,220",801220,9,7,9,97.4
36,AUSD,Yearn Finance,$1.65m,1650000,8.88,8.88,8.88,2.74
37,USDC,Abyss,$1.86m,1860000,8.8,8.8,8.8,8.86
38,USDC,MortgageFi,"$747,093",747093,8.75,9.03,9.03,97.8
39,ZVUSDC,Zircuit Finance,$1.51m,1510000,8.66,8.66,8.63,26.1
40,RE7USDC,Morpho V1,$1.23m,1230000,8.54,8.54,43.46,100
41,USDC,Loopscale,$1.17m,1170000,8.37,7.75,0.62,8.38
42,USDC / baseUSD,AUTOfinance,$6.81m,6810000,8.3,5.11,6.7,99.9
43,USDSUI,NAVI Lending,$1.54m,1540000,8.03,0.05,7.98,9.02
