rank,pool,project,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
44,USDC,Neverland,$17.91m,17910000,8,3.76,8.37,81.3
45,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,$13.75m,13750000,7.86,7.86,7.64,47
46,AUGUSTUSDC,Morpho V1,$5.92m,5920000,7.8,5.09,7.3,100
47,APXUSD / For LP | Maturity 18JUN2026,Pendle,$3.11m,3110000,7.79,5.9,9.32,99.9
48,MIM-USDC / Mim,Beefy,$2.43m,2430000,7.78,7.17,7.17,89
49,AUGUSTUSDCV2,Morpho V1,$5.91m,5910000,7.75,5.09,7.08,99.3
50,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,$6.4m,6400000,7.62,7.62,7.11,60.5
51,SUSDAI / For LP | Maturity 15OCT2026,Pendle,$13.75m,13750000,7.54,6.74,7.57,60.9
52,USDC-SUSD / stable - 0.05%,Velodrome V2,$1.04m,1040000,7.49,7.49,6.29,99.8
53,FEUSDT0,Morpho V1,$12.3m,12300000,7.44,7.44,5.32,61.4
54,AAVEUSDC-AAVEGHO,Aura,$7.17m,7170000,7.42,2.43,5.65,100
55,SUSDAI / 30d unlock,USD AI,$258.02m,258019999.99999997,7.2,7.2,6.24,86.8
56,USDC,Gearbox,$3.88m,3880000,7.17,1.79,7.53,79.6
57,SUSDAI / For LP | Maturity 18JUN2026,Pendle,$6.4m,6400000,7.11,6.7,7.02,79.9
58,WABASGHO-WABASUSDC / Aura,Beefy,$1.63m,1630000,7.07,5.31,5.31,69.5
59,SYZUSD,Yuzu Money,$22.61m,22610000,7.02,7.02,7.32,100
60,USDC / 40 Acres,Harvest Finance,$2.02m,2020000,6.94,6.94,6.05,59.6
61,USDT,Symbiosis,"$996,682",996682,6.89,6.89,6.89,6.83
62,USDAI / For buying PT-USDai-15OCT2026,Pendle,"$903,604",903604,6.87,6.87,6.08,89.6
63,AUSD / earnAUSD/AUSD,Curvance,$2.19m,2190000,6.73,6.73,6.63,59.1
64,FEUSDH,Morpho V1,$4.68m,4680000,6.53,6.53,5.06,59.7
65,XUSD,Sovryn Dex,"$728,066",728066,6.48,6.48,6.48,6.54
66,HYPERUSDCA,Morpho V1,$26.09m,26090000,6.47,4.18,6.78,100
67,DTUSDC,Lagoon,"$675,972",675972,6.46,6.46,5.58,87.9
68,HYPERUSDCA,Morpho V1,$26.08m,26080000,6.44,3.77,6.7,92.3
69,USDC / Dolomite Balance,Dolomite,"$749,600",749600,6.41,6.41,6.41,4
70,EDGEUSDC,Morpho V1,$1.03m,1030000,6.29,3.98,4.92,90.8
71,AAVEGHO-USDT-USDC,Aura,$7.59m,7590000,6.23,1.35,7.26,100
72,BBQUSDT0,Morpho V1,$5.94m,5940000,6.17,2.04,6.08,100
73,USDC / MainMarket,Current,$2.76m,2760000,6.15,0.96,5.2,6.1
74,BBQUSDT0,Morpho V1,$5.94m,5940000,6.13,1.83,6.03,99
75,GHO,Fluid Lending,$3.53m,3530000,6,3.05,6.29,64.2
76,AUSD / syzUSD/AUSD,Curvance,"$629,915",629915,5.98,5.98,5.95,90
77,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,$3.77m,3770000,5.87,6.9,6.9,70.4
78,USDC-ALUSD / stable - 0.05%,Velodrome V2,$1.66m,1660000,5.71,5.71,5.69,100
79,USDC,Extra Finance Leverage Farming,$4.04m,4040000,5.64,5.64,5.07,100
80,USDC,Gains Network,$8.63m,8630000,5.59,5.59,6.34,60.9
81,AUSD / vUSD/AUSD,Curvance,"$558,213",558213,5.55,5.55,5.42,100
82,DLLR,Sovryn Dex,"$544,290",544290,5.53,5.53,5.53,5.28
83,USDC-SCRVUSD / Curve,Stake DAO,"$655,178",655178,5.46,2.09,5.45,98.6
84,USDC,Liqwid,"$631,942",631942,5.45,5.45,5.45,3.74
85,USDAI / For buying PT-USDai-18JUN2026,Pendle,$35.91m,35910000,5.42,5.42,5.19,99.5
86,USDC,Fluid Lending,$33.29m,33290000,5.34,4.31,6.06,47
87,USDC,DeltaPrime,"$735,815",735815,5.33,5.33,6.47,69.1
88,USDM,Liqwid,$1.44m,1440000,5.33,5.33,5.33,5.27
89,USDC / Autopilot,Harvest Finance,"$769,807",769807,5.32,5.32,4.86,62.3
90,GTUSDCC,Morpho V1,$1.2m,1200000,5.32,5.32,6.13,92
91,USDT,ZEROBASE CeDeFi,$8.1m,8100000,5.3,3.3,5.3,98.9
92,USDC,Wasabi Perps,$4.66m,4660000,5.26,5.26,5.26,4.58
93,USDC,Fluid Lending,$11.1m,11100000,5.23,3.1,6.61,29.4
94,USDC,Loopscale,$1.96m,1960000,5.22,5.22,5.22,5.1
95,FEUSDT02,Morpho V1,$2.08m,2080000,5.18,5.18,5.47,55
96,NTBILL,Nest Credit,"$669,839",669839,5.17,5.17,5.17,3.38
97,USDC,Harmonix Finance,"$863,559",863559,5.12,5.12,5.12,5.24
98,GTUSDCF,Morpho V1,$1.12m,1120000,5.01,5.01,4.74,90
99,USDC / Harvest USDC vault Base,Fusion by IPOR,"$769,762",769762,4.96,4.96,4.29,62.3
100,BBQUSDC,Morpho V1,$18.99m,18990000,4.93,4.93,4.9,64.8
