rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,RE7USDC,Morpho Blue,Base,"$789,342",789342,41.15,41.15,9.11,,,41.15,,9.11,789436.3331666415,,26145226.02,0.08,"{""AERO"":8.29,""USR"":54.96,""cbBTC"":34.22,""mBASIS"":1.75,""wbCOIN"":0.78}"
2,MIM-USDC|Mim,Beefy,Arbitrum,$1.16m,1160000,21.87,7.61,,,,,,7.61,,,,,
3,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.1m,1100000,19.33,18.56,0.76,11.65,7.47,11.65,,7.47,,,,,
4,MSUSD-FRXUSD,Aerodrome V1,Base,"$838,428",838428,18.77,18.77,15.97,,,18.77,,15.97,,,,,
5,USDC|yoUSD,YO Protocol,Base,$19.86m,19860000,16.67,4.67,12,13.96,,12,,13.96,,,,,
6,USDC|yoUSD,YO Protocol,Arbitrum,"$566,832",566832,16.67,4.67,12,13.98,,12,,13.98,,,,,
7,AUSD-USDC-USDT0,Curve DEX,Monad,$2.64m,2640000,15.95,0,15.95,0.6,,15.95,,0.6,,,,,
8,USDC-USDM,Mento V3,Monad,"$520,925",520925,15.8,1.24,14.56,16.24,,14.56,,16.24,,,,,
9,AAVEGHO-USDT-USDC,Aura,Arbitrum,$3.7m,3700000,15.62,5.62,10,7.82,,10,,7.82,,,,,
10,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,$1.13m,1130000,15.42,15.42,12.86,,,15.42,,12.86,,,,,
11,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.16m,3160000,14.07,14.07,14.18,,,14.07,,14.18,,,,,
12,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$2.86m,2860000,13.18,14.29,,,,,,14.29,,,,,
13,USDC|arbUSD,AUTOfinance,Arbitrum,$2.87m,2870000,12.57,10.66,1.91,9.33,,1.91,,9.33,,,,,
14,SUPERUSDC|SuperVault,Superform,Base,$1.28m,1280000,11.97,5.95,6.02,7.11,,6.02,,7.11,,,,,
15,USDC,Sprinter,Base,$2.96m,2960000,11.35,10.62,,,,,,10.62,,,,,
16,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3,,5,,11.3,,,,,
