rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.03m,1030000,20.36,17.82,2.54,14.17,,13.37,,,,,,,
2,USDC,Sprinter,Base,$2.96m,2960000,16.66,16.66,,,,11.72,,,,,,,
3,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$2.94m,2940000,16.42,8.71,7.71,,,20.08,,,,,,,
4,AUSD-USDC-USDT0,Curve DEX,Monad,$3.97m,3970000,16.07,0,16.07,,,10.03,,,,,,,
5,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,"$947,702",947702,15.32,15.32,15.32,,,14.68,,,,,,,
6,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.65m,3650000,15.29,15.29,,,,14.36,,,,,,,
7,USDC-USDM,Mento V3,Monad,"$529,454",529454,14.83,0.5,14.33,,,14.93,,,,,,,
8,MSUSD-FRXUSD,Aerodrome V1,Base,$1.07m,1070000,14.82,14.82,14.82,,,15.62,,,,,,,
9,MIM-USDC|Mim,Beefy,Arbitrum,$1.23m,1230000,14.47,14.47,,,,14.76,,,,,,,
10,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$3.59m,3590000,14.17,14.17,,,,13.64,,,,,,,
11,AUSD,Metrom,Katana,$1.75m,1750000,13.93,9.49,4.45,,,13.78,,,,,,,
12,FEUSDE,Morpho Blue,Hyperliquid L1,"$817,652",817652,13.22,13.22,,,,8.88,,,809946.2813537846,,16181659.4,4.77,"{""UBTC"":40.07,""WHYPE"":59.93}"
13,USDCAD-USDC,GMTrade,Solana,$1.39m,1390000,13.16,13.16,,,,14.97,,,,,,,
14,USDC,Metrom,Katana,$15.25m,15250000,12.79,2.61,10.18,,,12.28,,,,,,,
15,MIM-USDT0|Mim,Beefy,Arbitrum,$1.11m,1110000,12.03,12.03,,,,10.92,,,,,,,
16,USDC|yoUSD,YO Protocol,Base,$16.43m,16430000,11.82,4.02,7.8,,,14.68,,,,,,,
17,USDC|yoUSD,YO Protocol,Arbitrum,"$558,282",558282,11.82,4.02,7.8,,,14.68,,,,,,,
18,SUPERUSDC|SuperVault,Superform,Base,$2.55m,2550000,11.49,4.44,7.05,,,12.14,,,,,,,
19,AUGUSTUSDC,Morpho Blue,Monad,$2.83m,2830000,11.29,7.78,3.5,,,9.08,,,0.0000019997381680566585,,164478464.32,0,"{""earnAUSD"":100}"
20,ALUSD-USDC,Curve DEX,Arbitrum,"$768,976",768976,11.04,0,11.04,,,9.76,,,,,,,
21,USDC|40 Acres,Harvest Finance,Base,$1.97m,1970000,10.78,10.78,,,,7.25,,,,,,,
22,USDC|vault,Avantis,Base,$46.02m,46020000,10.4,10.4,,,,10.12,,,,,,,
23,USDT,Metrom,Katana,$4.64m,4640000,10.36,2.73,7.62,,,10.24,,,,,,,
24,SUSDU,Unitas,Solana,$28.14m,28140000,9.94,9.94,,,,11.09,,,,,,,
25,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.11m,1110000,9.72,9.72,,,,10.88,,,,,,,
26,SUSDAI|For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.2m,6200000,9.64,9.64,,,,8.63,,,,,,,
