rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,RE7USDC,Morpho Blue,Base,"$788,577",788577,38.58,38.58,7.98,,,38.58,,7.98,788731.6152261421,,26144274.08,0.08,"{""AERO"":8.3,""USR"":54.93,""cbBTC"":34.25,""mBASIS"":1.75,""wbCOIN"":0.78}"
2,USDC-USDM,Mento V3,Monad,"$520,922",520922,16.43,1.87,14.56,16.3,,14.56,,16.3,,,,,
3,USDC|yoUSD,YO Protocol,Base,$19.78m,19780000,16.42,4.42,12,14.02,,12,,14.02,,,,,
4,USDC|yoUSD,YO Protocol,Arbitrum,"$535,077",535077,16.42,4.42,12,14.04,,12,,14.04,,,,,
5,AUSD-USDC-USDT0,Curve DEX,Monad,$2.82m,2820000,15.91,0,15.91,0.16,,15.91,,0.16,,,,,
6,AAVEGHO-USDT-USDC,Aura,Arbitrum,$4m,4000000,14.41,5.17,9.24,7.54,,9.24,,7.54,,,,,
7,USDC-USDT|CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.06m,1060000,14.29,13.41,0.88,10.54,7.21,10.54,,7.21,,,,,
8,USDC-MSUSD|stable - 0.05%,Velodrome V2,Op Mainnet,$1.11m,1110000,14.17,14.17,13.26,,,14.17,,13.26,,,,,
9,APXUSD|For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.15m,3150000,14.05,14.05,14.18,,,14.05,,14.18,,,,,
10,WNUSDT0-WNAUSD-WNUSDC|Balancer,Beefy,Monad,$2.87m,2870000,13.58,14.28,,,,,,14.28,,,,,
11,FEUSDT02,Morpho Blue,Hyperliquid L1,$1.83m,1830000,12.87,12.87,6.68,,,12.87,,6.68,1889233.5812474957,,55116370.6,3.31,"{""hwHLP"":3.9,""WHYPE"":0.2,""UBTC"":7.37,""hbUSDT"":3.15,""WHLP"":0.66,""UETH"":8.9,""thBILL"":56.95,""kHYPE"":18.84,""PT-hbUSDT-18DEC2025"":0.02}"
12,FEUSDT0,Morpho Blue,Hyperliquid L1,$11.82m,11820000,12.59,12.59,6.21,,,12.59,,6.21,11832284.053953486,,95477379.64,11.03,"{""UBTC"":7.39,""kHYPE"":53.02,""WHYPE"":32.96,""PT-kHYPE-19MAR2026"":5.74,""beHYPE"":0.35,""wstHYPE"":0.53}"
13,USDC|arbUSD,AUTOfinance,Arbitrum,$1.93m,1930000,12.58,10.66,1.92,9.1,,1.92,,9.1,,,,,
14,FEUSDE,Morpho Blue,Hyperliquid L1,$1.12m,1120000,12.06,12.06,12.36,,,12.06,,12.36,1117465.4793918955,,15871089.55,6.58,"{""WHYPE"":71.93,""UBTC"":28.07}"
15,SUPERUSDC|SuperVault,Superform,Base,$1.29m,1290000,11.82,5.74,6.08,6.91,,6.08,,6.91,,,,,
16,FEUSDH2,Morpho Blue,Hyperliquid L1,$9.69m,9690000,11.7,11.7,11.15,,,11.7,,11.15,9745826.173414929,,30233992.03,24.38,"{""kHYPE"":31,""WHYPE"":56.61,""wstHYPE"":12.4}"
17,AAVEUSDC-AAVEGHO,Aura,Base,$4.63m,4630000,11.4,11.1,0.3,6.78,,0.3,,6.78,,,,,
18,USDC,Sprinter,Base,$2.96m,2960000,11.35,10.54,,,,,,10.54,,,,,
19,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3,,5,,11.3,,,,,
20,FEUSDH,Morpho Blue,Hyperliquid L1,$4.01m,4010000,11.01,11.01,6.45,,,11.01,,6.45,4045516.907078419,,35934301.3,10.12,"{""UBTC"":13.11,""kHYPE"":9.02,""WHYPE"":77.87}"
21,BBQUSDT0,Morpho Blue,Monad,$2.89m,2890000,10.87,2.32,8.55,6.57,,8.55,,6.57,23698791.98757676,,636388880.27,0,"{""sUSDe"":0,""sUSDS"":27.73,""syrupUSDC"":32.18,""weETH"":8.46,""PT-USDai-18JUN2026"":0,""siUSD"":0.42,""XAUt0"":0.05,""bbqUSDC"":0,""WBTC"":9.39,""wsrUSD"":12.7,""wstETH"":4.25,""WETH"":4.81}"
22,USDC|vault,Avantis,Base,$51.99m,51990000,10.81,10.81,9.85,,,10.81,,9.85,,,,,
23,HYPERVBUSDCA,Morpho Blue,Katana,$1.51m,1510000,10.77,10.23,0.54,3.54,,0.54,,3.54,,,,,
24,BBQUSDC,Morpho Blue,Base,$19.76m,19760000,10.64,10.64,5.25,,,10.64,,5.25,16245651.118739383,,493621940.97,0,"{""PT-USDai-18JUN2026"":9.87,""syrupUSDC"":4.69,""weETH"":9.88,""wsrUSD"":0,""WETH"":0.72,""XAUt0"":0.03,""sUSDS"":1.67,""wstETH"":54.83,""WBTC"":18.31,""siUSD"":0}"
25,USDC-USDT|0.01%,Uniswap V3,Arbitrum,$2.65m,2650000,10.6,10.6,5.42,3.91,,5.42,,3.91,,,,,
26,MIM-USDC|Mim,Beefy,Arbitrum,$1.16m,1160000,10.59,7.42,,,,,,7.42,,,,,
27,AUGUSTUSDC,Morpho Blue,Monad,$6.07m,6070000,10.56,7.37,3.18,8.14,,3.18,,8.14,6055239.886316745,,158404997.6,3.68,"{""syzUSD"":52.81,""earnAUSD"":47.19}"
28,MIM-USDT0|Mim,Beefy,Arbitrum,$1.11m,1110000,10.47,10.29,,,,,,10.29,,,,,
29,AUGUSTUSDCV2,Morpho Blue,Monad,$6.06m,6060000,10.3,7.12,3.18,7.95,,3.18,,7.95,,,,,
30,SUSDU,Unitas,Solana,$46m,46000000,10.26,10.26,11.64,,,10.26,,11.64,,,,,
