date,rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
2026-06-06,53,COMPUSDC,morpho blue,Polygon,$1.39m,1388812,4.65047,4.65047,0,,,2.7402,,,1388812,,,,
2026-06-06,54,GTUSDCF,morpho blue,Base,$1.10m,1104971,3.8929,3.8929,0,,,5.3037,,,138408.84301729075,,138408.84,0,"{""cbBTC"":0.1,""cbETH"":99.85,""Unknown"":0,""SOL"":0.05}"
2026-06-06,55,EURAU-EURC,aerodrome slipstream,Base,$697.4k,697401,4.6135,4.61163,0.00188,1.14765,,2.30773,,,697401,,,,
2026-06-06,56,USDC,harvest finance,Base,$930.5k,930507,4.57,4.57,,,,5.1885,,,930507,,,,
2026-06-06,57,USDC,fusion by ipor,Base,$930.5k,930456,4.5406,4.5406,0,,,5.18051,,,930456,,,,
2026-06-06,58,USDC,arcadia v2,Base,$784.8k,784784,4.52307,4.52307,,,,8.57247,,,784784,,,,
2026-06-06,59,EURE-AAVEUSDC,balancer v3,Arbitrum,$1.17m,1173268,4.44892,4.44892,0,,,3.6428,,,1173268,,,,
2026-06-06,60,BBQUSDC,morpho blue,Base,$3.72m,3717825,4.3293,4.3293,0,,,5.68505,,,3730825.2367507247,,3087141.76,0,"{""cbXRP"":23.78,""SOL"":13.49,""cbDOGE"":11.86,""PT-USDai-18JUN2026-(ARB)"":13.78,""cbADA"":4.12,""cbLTC"":7.79,""AERO"":0.71,""deSPXA"":0.45,""cbETH"":10.16,""wstETH"":0.03,""LBTC"":0.05,""weETH"":0,""cUSDO"":0.01,""wsrUSD"":0,""cbBTC"":13.76}"
2026-06-06,61,USDC,mortgagefi,Base,$584.2k,584232,4.44,4.44,,,,5.30386,,,584232,,,,
2026-06-06,62,USDY,toros,Base,$881.3k,881260,4.42,4.42,,,,3.77055,,,881260,,,,
2026-06-06,63,GTUSDA,gauntlet,Base,$67.12m,67121081,4.41783,4.41783,,5.34252,,4.33184,,,67121081,,,,
2026-06-06,64,USDT,folks finance xchain,Polygon,$1.09m,1086758,4.348,4.348,0,,,4.52459,,,1086758,,,,
2026-06-06,65,APXUSD,pendle,Base,$3.12m,3117223,4.33625,4.08268,0.25357,,,7.02073,,,3117223,,,,
2026-06-06,66,YCSUSDC,morpho blue,Base,$522.1k,522083,4.0875,4.0875,0,,,5.24418,,,522106.21140817757,,514350.31,0,"{""cbETH"":2.68,""cbDOGE"":35.14,""mBASIS"":1.41,""rETH"":0.62,""cbADA"":28.32,""wstETH"":0.48,""cbLTC"":11.97,""cbXRP"":14.54,""superOETHb"":0.54,""cbBTC"":4.28}"
2026-06-06,67,HYPERUSDCA,morpho blue,Arbitrum,$724.6k,724614,4.12082,4.12082,0,,,4.38329,,,724614,,,,
2026-06-06,68,USDC,beefy,Base,$1.97m,1973841,4.11927,4.11927,,,,5.13886,,,1973841,,,,
2026-06-06,69,USDC-USDT,camelot v3,Arbitrum,$1.11m,1112268,4.05657,4.05657,,1.26363,,0.90076,,,1112268,,,,
2026-06-06,70,STEAKUSDC,morpho blue,Base,$190.75m,190750727,3.8588,3.8588,0,,,4.39668,,,337230030.7764041,,216481108.69,0.03,"{""cbBTC"":93.97,""WETH"":5.75,""wstETH"":0.03,""cbETH"":0.26}"
2026-06-06,71,GTUSDCP,morpho blue,Base,$75.63m,75634681,3.8595,3.8595,0,,,4.39831,,,438124622.82097536,,217098126.1,0.43,"{""cbETH"":0.87,""wstETH"":0.1,""WETH"":4.73,""cbBTC"":94.3}"
2026-06-06,72,USDC,yearn finance,Base,$1.72m,1718183,3.92308,3.92308,0,,,82.96232,,,1718183,,,,
2026-06-06,73,FRUSDC,morpho blue,Base,$23.86m,23855228,3.9188,3.9188,0,,,4.3811,,,23855228,,,,
2026-06-06,74,PUSDC,morpho blue,Base,$32.29m,32288646,3.91798,3.91798,0,,,4.38052,,,32288646,,,,
2026-06-06,75,GTUSDCP,morpho blue,Base,$438.01m,438009608,3.8595,3.8595,0,,,4.38356,,,438124622.82097536,,217098126.1,0.43,"{""cbETH"":0.87,""wstETH"":0.1,""WETH"":4.73,""cbBTC"":94.3}"
2026-06-06,76,STEAKUSDC,morpho blue,Base,$337.22m,337224076,3.8588,3.8588,0,,,4.38308,,,337230030.7764041,,216481108.69,0.03,"{""cbBTC"":93.97,""WETH"":5.75,""wstETH"":0.03,""cbETH"":0.26}"
2026-06-06,77,RWAUSDI,multipli.fi,Base,$123.82m,123817261,3.888,3.888,,,,3.888,,,123817261,,,,
2026-06-06,78,BITGETUSDC,morpho blue,Arbitrum,$9.73m,9729917,3.81163,3.81163,0,,,3.66713,,,9729917,,,,
2026-06-06,79,USDC,yo protocol,Base,$14.32m,14318827,3.76841,3.76841,,,,4.16089,,,14318827,,,,
2026-06-06,80,USDC,yo protocol,Arbitrum,$568.7k,568654,3.76841,3.76841,,,,4.16021,,,568654,,,,
2026-06-06,81,USDC,termmax,Base,$1.25m,1246189,3.6964,3.6964,,,,4.13862,,,1246189,,,,
2026-06-06,82,USDS,spark savings,Arbitrum,$359.23m,359230778,3.6,3.6,,,,3.63191,,,359230778,,,,
2026-06-06,83,SUSDS,sky lending,Arbitrum,$359.23m,359230778,3.6,3.6,,,,3.63247,,,359230778,,,,
2026-06-06,84,USDS,spark savings,Base,$222.79m,222789406,3.6,3.6,,,,3.63191,,,222789406,,,,
2026-06-06,85,GTUSDCC,morpho blue,Base,$2.03m,2033061,3.4794,3.4794,0,,,3.9473,,,1943877.0140032778,,1897622.31,0,"{""wstETH"":0,""cbETH"":35.53,""WETH"":0,""cbBTC"":61.63,""weETH"":0.71,""LBTC"":2.13}"
2026-06-06,86,USDY,ondo yield assets,Arbitrum,$5.60m,5601908,3.55,3.55,,3.55,,3.55,,,5601908,,,,
2026-06-06,87,BUIDL,blackrock buidl,Polygon,$14.18m,14178555,3.51526,3.51526,,,,3.52332,,,14178555,,,,
2026-06-06,88,SPARKUSDC,morpho blue,Base,$8.12m,8122961,3.3987,3.3987,0,,,3.9422,,,8120925.260569528,,8120925.26,0.41,"{""cbBTC"":1.9,""WETH"":98.1}"
2026-06-06,89,USDC,lazy summer protocol,Base,$1.41m,1411621,3.33255,2.64281,0.68974,3.27783,,3.90217,,,1411621,,,,
2026-06-06,90,USDC,yearn finance,Base,$962.7k,962683,3.30311,3.30311,0,,,1.85602,,,962683,,,,
2026-06-06,91,AAVEUSDC-AAVEGHO,balancer v3,Base,$546.0k,546012,3.23025,3.23025,0,,,5.42526,,,546012,,,,
2026-06-06,92,USDC,aave v3,Base,$26.85m,26854574,3.2993,3.2993,,,,3.15984,,,26854574,,26269853.087036,84.93,
2026-06-06,93,USDC,compound v3,Base,$886.5k,886498,3.21887,3.21887,0,,,4.42814,,,886498,,,,
2026-06-06,94,BUIDL,blackrock buidl,Arbitrum,$25.55m,25550164,3.20533,3.20533,,,,3.21363,,,25550164,,,,
2026-06-06,95,STEAKUSDC,morpho blue,Base,$289.03m,289032423,3.8588,3.8588,0.25,,,3.68799,,,337230030.7764041,,216481108.69,0.03,"{""cbBTC"":93.97,""WETH"":5.75,""wstETH"":0.03,""cbETH"":0.26}"
2026-06-06,96,USDC,aave v3,Polygon,$11.13m,11129317,3.03534,3.03534,,,,3.08631,,,11129317,,,,
2026-06-06,97,USDC,dolomite,Arbitrum,$2.03m,2026066,2.9747,2.9747,,,,4.31159,,,2026066,,,,
2026-06-06,98,USDC-USDT,quickswap dex,Polygon,$629.6k,629637,2.93349,2.93349,,1.27752,,0.6246,,,629637,,,,
2026-06-06,99,USDC,aave v3,Polygon,$683.7k,683677,2.92831,2.92831,,,,2.90458,,,683677,,,,
2026-06-06,100,USDC,centrifuge protocol,Base,$1.09m,1091655,2.81998,2.81998,,2.81998,,3.93718,,,1091655,,,,
2026-06-06,101,USDC,Revert Lend,Base,$2.48m,2479720.332052,4.068920750200378,4.068920750200378,,,,,,,2479720.332052,,1127023.646523,,
2026-06-06,102,baseUSD,Tokemak,Base,$7.14m,7137798.95758,5.272719665436298,5.272719665436298,,,,,,,7137798.95758,,,,
2026-06-06,103,ottoUSD,Tokemak,Base,$496,496.243112,4.1490807465796475,4.1490807465796475,,,,,,,496.243112,,,,
2026-06-06,104,40 Acres,Harvest Finance,Base,$7.67m,7670518.126477,6.348350139571424,6.348350139571424,,,,,,,7670518.126477,,,,
2026-06-06,105,USDC,AlphaGrowth,Base,$568.8k,568775.309031,5.894949898315827,5.894949898315827,,,,,,,568775.309031,,149423.158297,,
2026-06-06,106,yoVaultUSD,Yo,Base,$14.32m,14321804.890989,3.210501826731993,3.210501826731993,,,,,,,14321804.890989,,,,
2026-06-06,107,ymvOG-USDC,Morpho,Base,$2.09m,2089733.655055,4.3379,4.3379,,,,,,,2089033.097430156,,2089033.1,0.18,"{""YFI"":0.23,""cbXRP"":89.1,""superOETHb"":0.47,""cbLTC"":0.85,""cbDOGE"":5.6,""cbBTC"":3.76}"
2026-06-06,108,CSBORUSDC,Morpho,Base,$519,518.908141,3.8161,3.8161,,,,,,,518.7332998593755,,518.73,0,"{""cbBTC"":40.84,""WETH"":59.16}"
