date,rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
2026-04-17,35,BUCK,NAVI Lending,,$22.08m,22080000.0,0.12,0.12,,,,0.12,,0.15,,,,,
2026-04-17,35,AUSD,Yearn Finance,,$1.63m,1630000.0,8.89,8.89,,,,8.89,,2.81,,,,,
2026-04-17,36,ZVUSDC,Zircuit Finance,,$1.51m,1510000.0,8.88,8.88,,,,8.54,,26.1,,,,,
2026-04-17,37,BBQUSDC,Morpho V1,,,,3.68,3.68,,,,2.97,,97.7,,,,,
2026-04-17,38,MSUSD-USDC / CL50 - 0.05%,Aerodrome Slipstream,,$20.29m,20290000.0,3.45,1.64,,,,1.69,,6.68,,,,,
2026-04-17,38,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,,$1.17m,1170000.0,8.61,7.44,,,,6.67,,6.28,,,,,
2026-04-17,39,USDT-MIM / 0.05%,Uniswap V3,,$19.97m,19970000.0,0.0001,0.0001,,,,0.0001,,0.0,,,,,
2026-04-17,39,USDC,Liqwid,,"$520,299",520299.0,8.39,8.39,,,,8.39,,3.61,,,,,
2026-04-17,41,USDT0,Aave V3,,$17.37m,17370000.0,2.45,2.45,,,,2.51,,35.9,,,,,
2026-04-17,42,USDT,Symbiosis,,$1.21m,1210000.0,8.24,8.24,,,,8.24,,6.76,,,,,
2026-04-17,43,USDC,Neverland,,$17.11m,17110000.0,7.98,3.82,,,,8.38,,81.0,,,,,
2026-04-17,44,USDC / Euler Earn USDC,Euler V2,,$1.65m,1650000.0,8.05,8.05,,,,1.78,,72.4,,,,,
2026-04-17,45,PYUSD,Kamino Lend,,$16.16m,16160000.0,2.26,2.26,,,,2.26,,2.28,,,,,
2026-04-17,45,USDSUI,NAVI Lending,,$1.53m,1530000.0,7.98,0.04,,,,7.93,,9.06,,,,,
2026-04-17,46,USDC,NAVI Lending,,$15.85m,15850000.0,2.9,2.42,,,,0.49,,4.36,,,,,
2026-04-17,47,MIM-USDC / Mim,Beefy,,$2.43m,2430000.0,7.89,7.16,,,,7.16,,89.0,,,,,
2026-04-17,49,USDC,Loopscale,,$1.01m,1010000.0,7.81,7.81,,,,7.81,,8.37,,,,,
2026-04-17,50,USDM,Aave V3,,$14.66m,14660000.0,0.0,0.0,,,,0.0001,,99.5,,,,,
2026-04-17,50,USDC,Gearbox,,$3.39m,3390000.0,7.75,2.34,,,,7.48,,80.9,,,,,
2026-04-17,51,CASH-USDC,Kamino Liquidity,,$14.29m,14290000.0,0.96,0.96,,,,0.34,,0.46,,,,,
2026-04-17,52,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,,$13.84m,13840000.0,7.82,7.82,,,,7.61,,47.1,,,,,
2026-04-17,53,SUSDAI / For LP | Maturity 15OCT2026,Pendle,,$13.84m,13840000.0,7.57,6.76,,,,7.64,,60.5,,,,,
2026-04-17,54,USDC,HyperLend Pooled,,$13.79m,13790000.0,4.32,4.32,,,,4.1,,77.2,,,,,
2026-04-17,55,USDC,Credix,,$13.62m,13620000.0,0.1,0.1,,,,0.1,,0.1,,,,,
2026-04-17,55,USDC-SUSD / stable - 0.05%,Velodrome V2,,$1.03m,1030000.0,7.1,7.1,,,,6.25,,99.8,,,,,
2026-04-17,57,FEUSDT0,Morpho V1,,,,6.84,6.84,,,,5.3,,61.9,,,,,
2026-04-17,57,USDC / 40 Acres,Harvest Finance,,$2.02m,2020000.0,6.94,6.94,,,,6.02,,59.6,,,,,
2026-04-17,58,MWUSDC,Morpho V1,,,,4.0,4.0,,,,3.89,,44.1,,,,,
2026-04-17,58,WABASGHO-WABASUSDC / Aura,Beefy,,$1.63m,1630000.0,6.91,5.24,,,,5.24,,69.5,,,,,
2026-04-17,59,SPARKUSDC,Morpho V1,,,,3.97,3.97,,,,3.92,,47.3,,,,,
2026-04-17,59,USDAI / For buying PT-USDai-15OCT2026,Pendle,,"$903,561",903561.0,6.87,6.87,,,,6.06,,90.8,,,,,
2026-04-17,61,USDG-USDC,Kamino Liquidity,,$10.53m,10530000.0,0.1,0.1,,,,0.26,,0.49,,,,,
2026-04-17,62,USDC,Kamino Lend,,$10.41m,10410000.0,3.36,3.36,,,,3.36,,2.21,,,,,
2026-04-17,63,AUSD,Accountable,,$9.9m,9900000.0,11.28,7.76,,,,3.52,,11.28,,,,,
2026-04-17,63,XUSD,Sovryn Dex,,"$727,888",727888.0,6.48,6.48,,,,6.48,,6.54,,,,,
2026-04-17,64,USDT,Compound V3,,$9.61m,9610000.0,1.88,1.88,,,,2.04,,94.5,,,,,
2026-04-17,64,DTUSDC,Lagoon,,"$675,972",675972.0,6.46,6.46,,,,5.56,,87.9,,,,,
2026-04-17,65,VBUSDT,Yearn Finance,,$8.7m,8700000.0,1.49,1.49,,,,1.49,,1.68,,,,,
2026-04-17,65,AUSD / earnAUSD/AUSD,Curvance,,$2.57m,2570000.0,6.36,6.36,,,,6.63,,58.6,,,,,
2026-04-17,66,USDC,Gains Network,,$8.64m,8640000.0,4.92,4.92,,,,6.34,,60.7,,,,,
2026-04-17,67,USDT,ZEROBASE CeDeFi,,$8.11m,8109999.999999999,5.3,3.3,,,,5.3,,98.9,,,,,
2026-04-17,68,AUSD,Neverland,,$8.08m,8080000.0,9.63,4.35,,,,10.23,,79.3,,,,,
2026-04-17,68,USDC / Dolomite Balance,Dolomite,,"$828,423",828423.0,6.13,6.13,,,,6.13,,3.9,,,,,
2026-04-17,69,USDC / MainMarket,Current,,$2.82m,2820000.0,6.04,0.89,,,,5.15,,6.02,,,,,
2026-04-17,70,AAVEGHO-USDT-USDC,Aura,,$7.61m,7610000.0,6.48,1.62,,,,7.3,,100.0,,,,,
2026-04-17,70,AUSD / syzUSD/AUSD,Curvance,,"$621,705",621705.0,6.0,6.0,,,,5.95,,89.9,,,,,
2026-04-17,71,AAVEUSDC-AAVEGHO,Aura,,$7.23m,7230000.0,7.27,2.31,,,,5.57,,100.0,,,,,
2026-04-17,71,GHO,Fluid Lending,,$3.55m,3550000.0,5.97,3.04,,,,6.27,,64.0,,,,,
2026-04-17,72,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,,$3.76m,3760000.0,5.92,6.94,,,,6.94,,70.5,,,,,
2026-04-17,73,PUSDC,Morpho V1,,,,4.06,4.06,,,,3.89,,93.4,,,,,
2026-04-17,75,GTUSDC,Morpho V1,,,,1.84,1.84,,,,1.84,,1.03,,,,,
2026-04-17,76,USDC-USDT / 2FER,Ferro,,$6.96m,6960000.0,0.01,0.01,,,,0.01,,0.05,,,,,
2026-04-17,76,USDC,Extra Finance Leverage Farming,,$4.03m,4030000.000000001,5.65,5.65,,,,5.07,,100.0,,,,,
2026-04-17,77,AUSD / vUSD/AUSD,Curvance,,"$558,137",558137.0,5.55,5.55,,,,5.41,,100.0,,,,,
2026-04-17,78,USDC,Compound V3,,$6.91m,6910000.0,2.35,2.35,,,,2.36,,70.6,,,,,
2026-04-17,78,DLLR,Sovryn Dex,,"$543,890",543890.0,5.53,5.53,,,,5.53,,5.27,,,,,
2026-04-17,79,USDC / baseUSD,AUTOfinance,,$6.78m,6780000.0,8.28,5.11,,,,6.61,,99.9,,,,,
2026-04-17,79,USDC,Harmonix Finance,,"$863,260",863260.0,5.43,5.43,,,,5.43,,5.22,,,,,
2026-04-17,80,MSUSD-USDC,Aerodrome V1,,$6.75m,6750000.0,12.81,12.81,,,,11.0,,99.9,,,,,
2026-04-17,82,USDS,Kamino Lend,,$6.46m,6460000.0,1.51,1.51,,,,1.51,,1.03,,,,,
2026-04-17,82,USDC-ALUSD / stable - 0.05%,Velodrome V2,,$1.66m,1660000.0,5.39,5.39,,,,5.69,,100.0,,,,,
2026-04-17,83,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,,$6.27m,6270000.0,7.77,7.77,,,,7.12,,59.2,,,,,
2026-04-17,83,USDC,DeltaPrime,,"$734,490",734490.0,5.35,5.35,,,,6.52,,69.1,,,,,
2026-04-17,84,SUSDAI / For LP | Maturity 18JUN2026,Pendle,,$6.27m,6270000.0,7.17,6.76,,,,7.11,,81.5,,,,,
2026-04-17,84,USDM,Liqwid,,$1.44m,1440000.0,5.34,5.34,,,,5.34,,5.28,,,,,
2026-04-17,85,USDC-MUSD / CL 0.01%,Etherex CL,,$5.86m,5860000.0,0.02,0.0,,,,0.0,,0.03,,,,,
2026-04-17,85,CSUSDC,Morpho V1,,,,5.34,5.34,,,,7.37,,47.0,,,,,
2026-04-17,86,AUGUSTUSDC,Morpho V1,,,,6.96,6.96,,,,7.25,,100.0,,,,,
2026-04-17,87,AUGUSTUSDCV2,Morpho V1,,,,6.65,6.65,,,,7.02,,99.5,,,,,
2026-04-17,88,USDC-SCRVUSD / Curve,Stake DAO,,"$653,616",653616.0,5.2,1.94,,,,5.47,,98.6,,,,,
2026-04-17,89,USDCX,Liqwid,,$5.55m,5550000.0,0.41,0.41,,,,0.41,,0.25,,,,,
2026-04-17,89,USDG,Kamino Lend,,$3.2m,3200000.0,5.15,5.15,,,,5.15,,4.54,,,,,
2026-04-17,90,USDC / Main Pool,Save,,$5.47m,5470000.0,2.9,2.9,,,,2.9,,2.91,,,,,
2026-04-17,90,GTUSDCF,Morpho V1,,,,5.13,5.13,,,,4.71,,88.0,,,,,
2026-04-17,91,USDC-USDC / 0.01%,Uniswap V3,,$5.43m,5430000.0,3.58,3.58,,,,3.58,,1.75,,,,,
2026-04-17,92,PRIMEUSDC,Morpho V1,,,,3.97,3.97,,,,3.86,,100.0,,,,,
2026-04-17,92,FEUSDT02,Morpho V1,,,,4.99,4.99,,,,5.45,,54.0,,,,,
2026-04-17,93,NTBILL,Nest Credit,,"$669,773",669773.0,4.96,4.96,,,,4.96,,3.37,,,,,
2026-04-17,95,EDGEUSDC,Morpho V1,,,,4.93,4.93,,,,4.9,,91.2,,,,,
2026-04-17,96,GTUSDCC,Morpho V1,,,,3.99,3.99,,,,3.29,,76.7,,,,,
2026-04-17,97,USDC,Moonwell Lending,,$4.84m,4840000.0,3.86,2.66,,,,3.79,,48.4,,,,,
2026-04-17,98,IUSD,Indigo,,$4.76m,4760000.0,16.75,16.75,,,,16.75,,18.1,,,,,
2026-04-17,99,FEUSDH,Morpho V1,,,,6.31,6.31,,,,5.11,,61.2,,,,,
2026-04-17,100,USDC,Wasabi Perps,,$4.57m,4570000.0,5.17,5.17,,,,5.17,,4.52,,,,,
2026-04-17,100,USDC / SuperchargerV2,WOOFi Earn,,"$739,591",739591.0,4.82,4.82,,,,4.87,,94.4,,,,,
2026-04-18,1,USDC.E-USDT.E,Yuzu Finance,,"$766,717",766717.0,26.57,0.23,,,,26.34,,25.46,,,,,
2026-04-18,2,IUSD,Indigo,,$4.78m,4780000.0,16.75,16.75,,,,16.75,,18.05,,,,,
2026-04-18,3,USDC / yoUSD,YO Protocol,,$25.94m,25940000.0,16.54,4.54,,,,14.06,,58.9,,,,,
2026-04-18,4,USDC / yoUSD,YO Protocol,,"$584,234",584234.0,16.54,4.54,,,,14.09,,89.6,,,,,
2026-04-18,5,USDC / monUSD,AUTOfinance,,"$788,695",788695.0,15.45,12.37,,,,27.89,,100.0,,,,,
2026-04-18,6,MSUSD-USDC,Extra Finance Leverage Farming,,$1.2m,1200000.0,14.84,14.84,,,,11.76,,99.9,,,,,
2026-04-18,7,USDC-MSUSD / stable - 0.05%,Velodrome V2,,$1.22m,1220000.0,14.74,14.74,,,,10.74,,100.0,,,,,
2026-04-18,8,USDC-MSUSD / stable - 0.05%,Velodrome V2,,$1.29m,1290000.0,14.38,14.38,,,,10.26,,100.0,,,,,
2026-04-18,9,MSUSD-USDC,Aerodrome V1,,$6.67m,6670000.0,13.9,13.9,,,,11.17,,99.9,,,,,
2026-04-18,10,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,,$3.11m,3110000.0,13.78,13.78,,,,14.38,,98.7,,,,,
2026-04-18,11,MSUSD-USDC / Aerodrome,Beefy,,"$602,480",602480.0,13.41,10.69,,,,10.69,,52.8,,,,,
